Include,Publication.Type,Authors,Book.Authors,Group.Authors,Book.Group.Authors,Researcher.Ids,ORCIDs,Book.Editors,Author...Arabic,Grant.Principal.Investigator,Grant.Co.Principal.Investigator,Article.Title,Article.Title...SciELO,Article.Title...SciELO.1,Article.Title...Chinese,Article.Title...Russian,Patent.Number,Patent.Assignee,Source.Title...Arabic,Source.Title,Source.Title...Korean,Book.Series.Title,Book.Series.Subtitle,Volume,Issue,Special.Issue,Meeting.Abstract,Start.Page,End.Page,Article.Number,Version,Version.History,DOI,Book.DOI,License.Name,License.URI,License.Description,Early.Access.Date,Supplement,Document.Type,Publication.Date,Publication.Year,Abstract,Abstract...Foreign,Abstract...English.Transliteration,Abstract...Foreign.1,Abstract...Korean,Conference.Title,Conference.Date,Conference.Sponsor,Conference.Location,Times.Cited..WoS.Core,Times.Cited..CSCD,Times.Cited..RSCI,Times.Cited..ARCI,Times.Cited..BCI,Times.Cited..SCIELO,Times.Cited..All.Databases,X180.Day.Usage.Count,Since.2013.Usage.Count,ISSN,eISSN,ISBN,Grant.Number,No.of.References,Cited.References,Language,Advisor,Committee.Member,Copyright,Degree.Name,Institution.Address,Institution,Dissertation.and.Thesis.Subjects,Author.Keywords,Indexed.Date,UT..Unique.ID.,Pubmed.Id
1,J,"Meulman, E.J.M.; Seed, A.M.; Mann, J.",,NA,NA,"Seed, Amanda M/E-7285-2010",,,NA,NA,NA,If at first you don't succeed ... Studies of ontogeny shed light on the cognitive demands of habitual tool use.,NA,NA,NA,,NA,NA,NA,Royal Society Philosophical Transactions Biological Sciences,NA,NA,NA,368,1630,NA,NA,20130050,20130050,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Nov 19 2013,2013,"Many species use tools, but the mechanisms underpinning the behaviour differ between species and even among individuals within species, depending on the variants performed. When considering tool use 'as adaptation', an important first step is to understand the contribution made by fixed phenotypes as compared to flexible mechanisms, for instance learning. Social learning of tool use is sometimes inferred based on variation between populations of the same species but this approach is questionable. Specifically, alternative explanations cannot be ruled out because population differences are also driven by genetic and/or environmental factors. To better understand the mechanisms underlying routine but non-universal (i.e. habitual) tool use, we suggest focusing on the ontogeny of tool use and individual variation within populations. For example, if tool-using competence emerges late during ontogeny and improves with practice or varies with exposure to social cues, then a role for learning can be inferred. Experimental studies help identify the cognitive and developmental mechanisms used when tools are used to solve problems. The mechanisms underlying the route to tool-use acquisition have important consequences for our understanding of the accumulation in technological skill complexity over the life course of an individual, across generations and over evolutionary time.",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0962-8436,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Zurich, Anthropol Inst & Museum, Zurich, CH-8057, Switzerland",NA,NA,NA,26/06/2014,ZOOREC:ZOOR15007034654,NA
1,J,"Auersperg, A.M.I.; von Bayern, A.M.I.; Weber, S.; Szabadvari, A.; Bugnyar, T.; Kacelnik, A.",,NA,NA,,"Auersperg, Alice/0000-0001-7405-9791; Bugnyar, Thomas/0000-0002-6072-9667; von Bayern, Auguste/0000-0002-0981-9456",,NA,NA,NA,Social transmission of tool use and tool manufacture in Goffin cockatoos (Cacatua goffini).,NA,NA,NA,,NA,NA,NA,Proceedings of the Royal Society Biological Sciences Series B,NA,NA,NA,281,1793,NA,NA,20140972,20140972,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Oct 22 2014,2014,"Tool use can be inherited, or acquired as an individual innovation or by social transmission. Having previously reported individual innovative tool use and manufacture by a Goffin cockatoo, we used the innovator (Figaro, a male) as a demonstrator to investigate social transmission. Twelve Goffins saw either demonstrations by Figaro, or 'ghost' controls where tools and/or food were manipulated using magnets. Subjects observing demonstrations showed greater tool-related performance than ghost controls, with all three males in this group (but not the three females) acquiring tool-using competence. Two of these three males further acquired tool-manufacturing competence. As the actions of successful observers differed from those of the demonstrator, result emulation rather than high-fidelity imitation is the most plausible transmission mechanism.",NA,NA,NA,NA,NA,NA,NA,NA,66,1,1,0,45,0,73,NA,NA,0962-8452,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Vienna, Dept Cognit Biol, Althanstr 14, Vienna, A-1190, Austria",NA,NA,NA,18/12/2014,ZOOREC:ZOOR15101001302,25185997
1,J,"Root-Bernstein, Meredith; Narayan, Trupthi; Cornier, Lucile; Bourgeois, Aude",,NA,NA,,"Root-Bernstein, Meredith/0000-0002-2513-1248",,NA,NA,NA,Context-specific tool use by Sus cebifrons.,NA,NA,NA,,NA,NA,NA,Mammalian Biology,NA,NA,NA,98,,NA,NA,102,110,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Sep-19,2019,"Tool use has been reported in a wide range of vertebrates, but so far not in Suidae (the pigs). Suidae are widely considered to be intelligent and have many traits associated with tool use, so this is surprising. Here, we report the first structured observations of umprompted instrumental object manipulation in a pig, the Visayan warty pig Sus cebifrons, which we argue qualifies as tool use. Three individuals were observed using bark or sticks to dig with. Two individuals, adult females, used the sticks or bark, using a rowing motion, during the final stage of nest building. The third individual, an adult male, attempted to use a stick to dig with. Stick and branch manipulation was observed in other contexts, but not for digging. Our observations suggest the hypothesis that the observed use of stick to dig with could have been socially learned through vertical transmission (mother-daughter) as well as horizontal transmission (female-male). When used by the females, it altered their digging affordance, and had a specific placement in the nest-building sequence. In addition to its context-specificity and its role in a functional sequence, the observed tool use is distinguished by an ambiguous function or effectiveness as a digging behaviour, and the participation of the male in a female action pattern. Observations of unprompted tool use represented for the first time in a phylogenetic family are rare. These open new possibilities for research on tool use and social learning in Suidae. (C) 2019 Deutsche Gesellschaft fur Saugetierkunde. Published by Elsevier GmbH. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,1,0,5,NA,NA,1616-5047,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Paris Saclay, UMR Sci Act & Dev Activites Prod Terr, Thiverval Grignon, F-78850, France",NA,NA,NA,05/02/2020,ZOOREC:ZOOR15602008334,NA
1,B,"Baber, Christopher","Baber, Christopher",NA,NA,,,,NA,NA,NA,Cognition and tool use: forms of engagement in human and animal use of tools.,NA,NA,NA,,NA,NA,NA,Cognition and tool use: forms of engagement in human and animal use of tools.,NA,NA,NA,,,NA,NA,i,"xii, 1-172",NA,NA,NA,,NA,NA,NA,NA,NA,,Book,2003,2003,,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,,NA,0-415-27728-0,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,01/01/2003,ZOOREC:ZOOR13900067941,NA
1,J,"Call, J.; Tomasello, M.",,NA,NA,,"Call Balaguer, Josep/0000-0002-8597-8336",,NA,NA,NA,The social learning of tool use by orangutans (Pongo pygmaeus).,NA,NA,NA,,NA,NA,NA,Human Evolution,NA,NA,NA,9,4,NA,NA,297,313,NA,NA,NA,10.1007/BF02435516,NA,NA,NA,NA,NA,,Article,October-December 1994,1994,,NA,NA,NA,NA,NA,NA,NA,NA,53,1,0,0,27,0,67,NA,NA,0393-9375,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,01/10/1994,ZOOREC:ZOOR13200016458,NA
0,J,"Oppenheimer, A.",,NA,NA,,,,NA,NA,NA,Tool use and crowded teeth in Australopithecinae.,NA,NA,NA,,NA,NA,NA,Current Anthropology,NA,NA,NA,5,,NA,NA,419,421,NA,NA,NA,10.1086/200530,NA,NA,NA,NA,NA,,Article,1964,1964,,NA,NA,NA,NA,NA,NA,NA,NA,18,0,0,0,2,0,20,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,01/01/1964,ZOOREC:ZOOR10100016893,NA
1,J,"Worch, Eric A.",,NA,NA,,,,NA,NA,NA,"Simple tool use by a red-tailed monkey (Cercopithecus ascanius) in Kibale Forest, Uganda.",NA,NA,NA,,NA,NA,NA,Folia Primatologica,NA,NA,NA,72,5,NA,NA,304,306,NA,NA,NA,10.1159/000049953,NA,NA,NA,NA,NA,,Article,September-October 2001(2002),2002,,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,3,0,5,NA,NA,0015-5713,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"University of Michigan-Flint, 430 French Hall, Flint, MI, 48502-1950, USA",NA,NA,NA,01/09/2002,ZOOREC:ZOOR13800025961,11805428
1,J,"Reynolds-Hogland, Melissa; Ramsey, Alan B.; Muench, Carly; Terkildsen, Kirsten; Pilgrim, Kristine L.; Engkjer, Cory; Ramsey, Philip W.",,NA,NA,,,,NA,NA,NA,Video-documentation of true and borderline tool use by wild American black bears.,NA,NA,NA,,NA,NA,NA,Ursus,NA,NA,NA,34,E3,NA,NA,e3,e3,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,May-23,2023,"Animal tool use has been documented for a variety of wildlife, but few studies have evaluated tool use by bears. We used long-term video data to observe and classify behaviors of wild American black bears (Ursus americanus) in western Montana, USA, during 2012-2022. We present video-documentation of true and borderline tool use by multiple individuals. Six bears (4F:2M) picked up sticks from the bottom of a creek pool and then manipulated the sticks with their forepaws to scratch and/or rub themselves. In addition, one bear manipulated a tree sapling near a cage trap in an apparent attempt to reach hanging food. We identified several parent-offspring relationships among our small sample size of tool users, indicating that tool use behavior may have partially developed via social learning and/or genetic inheritance. Our findings build on the limited research on ursid tool use and demonstrate the value of long-term video data to document wild bear behavior.",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,NA,NA,1537-6176,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Wildlife Res & Educ Fdn, Frenchtown, MT, 59834, USA",NA,NA,NA,29/07/2023,ZOOREC:ZOOR15908060580,NA
1,J,"O'Malley, Robert C.; McGrew, W.C.",,NA,NA,,,,NA,NA,NA,Oral tool use by captive orangutans (Pongo pygmaeus).,NA,NA,NA,,NA,NA,NA,Folia Primatologica,NA,NA,NA,71,5,NA,NA,334,341,NA,NA,NA,10.1159/000021756,NA,NA,NA,NA,NA,,Article,September-October 2000,2000,"Eight captive orangutans (Pongo pygmaeus) were given wooden blocks embedded with raisins and bamboo as raw material for tool making in a study of manual laterality. In about three quarters of the raisin extraction bouts, the orangutans held the tool in the lips or teeth rather than in their hands. Three adult males and 2 adult females showed extreme ([gtoreq] 92%) preference for oral tool use, a subadult male and an adult female used oral tools about half the time, and 1 adult female preferred manual tool use. Most oral tool users made short tools (approx. 4-10 cm long) that were held in the lips and (probably) supported by the tongue. Preference for oral tool use does not correlate with body weight, age or sex, but it may be related to hand size or individual preference. This is the first report of customary oral tool use as the norm in captive orangutans; it resembles the behavioral patterns reported by van Schaik et al. and Fox et al. in nature.",NA,NA,NA,NA,NA,NA,NA,NA,21,0,0,0,13,0,23,NA,NA,0015-5713,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Department of Anthropology, University of Alberta, 13-15 Tory Building, Edmonton, Alberta, 26G 2H4, Canada",NA,NA,NA,01/09/2000,ZOOREC:ZOOR13700008915,11093037
1,J,"Parker, S. T; Gibson, K. R.",,NA,NA,,,,NA,NA,NA,"Object manipulation, tool use and sensorimotor intelligence as feeding adaptations in Cebus monkeys and great apes.",NA,NA,NA,,NA,NA,NA,Journal hum Evol,NA,NA,NA,6,7,NA,NA,623,"641,illust.",NA,NA,NA,10.1016/S0047-2484(77)80135-8,NA,NA,NA,NA,NA,,Article,1977,1977,,NA,NA,NA,NA,NA,NA,NA,NA,370,4,1,0,175,1,410,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,01/01/1977,ZOOREC:ZOOR11400033405,NA
1,J,"Souto, Antonio; Bione, Camila B.C.; Bastos, Monique; Bezerra, Bruna M.; Fragaszy, Dorothy; Schiel, Nicola",,NA,NA,", Doree/HCI-4354-2022; Bezerra, Bruna M/C-6827-2015; Schiel, Nicola/H-9047-2012; Souto, Antonio/G-1799-2010",", Doree/0000-0002-4010-4993; Schiel, Nicola/0000-0002-2454-0912; Souto, Antonio/0000-0003-1692-1958; Bezerra, Bruna/0000-0003-3039-121X",,NA,NA,NA,Critically endangered blonde capuchins fish for termites and use new techniques to accomplish the task.,NA,NA,NA,,NA,NA,NA,Biology Letters,NA,NA,NA,7,4,NA,NA,532,535,NA,NA,NA,10.1098/rsbl.2011.0034,NA,NA,NA,NA,NA,,Article,Aug 23 2011,2011,"We report the spontaneous modification and use of sticks to fish for termites, above the ground, in wild blonde capuchins (Cebus flavius). These critically endangered Neotropical Primates inhabit remnants of the Atlantic Forest. They used two previously undescribed techniques to enhance their termite capture success: nest tapping and stick rotation. The current ecologically based explanation for tool use in wild capuchins (i.e. terrestrial habits and bipedalism) must be viewed cautiously. Instead, remarkable manual skills linked to a varied diet seem important in promoting tool use in different contexts. The repertoire of tool-using techniques employed by wild capuchins has been expanded, highlighting the behavioural versatility in this genus.",NA,NA,NA,NA,NA,NA,NA,NA,44,0,0,0,40,2,48,NA,NA,1744-9561,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Fed Pernambuco, Dept Zool, Rua Prof Moraes Rego S-N, Recife, PE, BR-50670-420, Brazil",NA,NA,NA,25/08/2011,ZOOREC:ZOOR14709069509,21389018
1,J,"Westergaard, Gregory Charles; Kuhn, Heather E.; Suomi, Stephen J.",,NA,NA,,,,NA,NA,NA,Laterality of hand function in tufted capuchin monkeys (Cebus apella): comparison between tool use actions and spontaneous non-tool actions.,NA,NA,NA,,NA,NA,NA,Ethology,NA,NA,NA,104,2,NA,NA,119,125,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Feb-98,1998,"This study examined hand preference for tool use and spontaneous non-tool actions in tufted capuchin monkeys (Cebus apella). We noted a lack of lateral bias across measures, and greater strength of hand preference for tool use than for self-directed or feeding activities. Animals that used tools exhibited a population-level righthand bias for self-touching whereas animals that did not use tools exhibited a lack of lateral bias for this measure. Our findings are consistent with views that hand preference is expressed more strongly for tool use thin for non-tool activities, and that lateral bias for self-directed behavior is related to problem-solving skills in primates.",NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,0,8,0,11,NA,NA,0179-1613,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"National Institutes of Health, Animal Center, PO Box 529, Poolesville, MD 20837, USA",NA,NA,NA,01/02/1998,ZOOREC:ZOOR13400056776,NA
1,B,"Yamakoshi, Gen","Matsuzawa, T.",NA,NA,,,,NA,NA,NA,Ecology of tool use in wild chimpanzees: toward reconstruction of early hominid evolution.,NA,NA,NA,,NA,NA,NA,Primate origins of human cognition and behavior.,NA,NA,NA,,,NA,NA,537,556,NA,NA,NA,,NA,NA,NA,NA,NA,,Book chapter,2001,2001,,NA,NA,NA,NA,NA,NA,NA,NA,36,0,0,0,22,0,39,NA,NA,,NA,4-431-70290-3,NA,NA,NA,NA,NA,NA,NA,NA,"Center for African Area Studies, Kyoto Universitiy, 46 Yoshida Shimoadachi-cho, Sakyo-ku, Kyoto 606-8501, Japan",NA,NA,NA,01/01/2001,ZOOREC:ZOOR13800013422,NA
1,J,"McGrew, W.C.",,NA,NA,,,,NA,NA,NA,Behavioral diversity in populations of free-ranging chimpanzees in Africa: is it culture?,NA,NA,NA,,NA,NA,NA,Human Evolution,NA,NA,NA,13,03-Apr,NA,NA,209,220,NA,NA,NA,10.1007/BF02436505,NA,NA,NA,NA,NA,,Article,July-December 1998,1998,,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,1,0,7,NA,NA,0393-9375,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Departments of Sociology, Gerontology, & Anthropology and of Zoology, Miami University, Oxford, OH 45056, USA",NA,NA,NA,01/07/1998,ZOOREC:ZOOR13600009954,NA
1,J,"Thomsen, Liat R.; Campbell, Ruairidh D.; Rosell, Frank",,NA,NA,,,,NA,NA,NA,Tool-use in a display behaviour by Eurasian beavers (Castor fiber).,NA,NA,NA,,NA,NA,NA,Animal Cognition,NA,NA,NA,10,4,NA,NA,477,482,NA,NA,NA,10.1007/s10071-007-0075-6,NA,NA,NA,NA,NA,,Article,Oct-07,2007,"Tool use is rare amongst rodents and has never been recorded in connection with agonistic displays. We witnessed a behaviour, stick display (StD), involving tool use in free-living Eurasian beavers (Castor fiber) that we conclude is a display behaviour. Two beavers were the main performers of the signal that was observed in at least six beavers from three families. Beavers reacted to displays by increased evasive and agonistic behaviours compared with their usual behavioural patterns when at territory borders. The behaviour was almost exclusively seen between rivals at territory borders. We suggest that the display is used in agonistic encounters, mainly in a territorial context.",NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,0,9,0,12,NA,NA,1435-9448,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Telemark Univ Coll, Dept Environm and Hlth Studies, N-3800 Telemark, Norway",NA,NA,NA,01/10/2007,ZOOREC:ZOOR14403013508,17318623
1,J,"Taylor, Alex H.; Hunt, Gavin R.; Gray, Russell D.",,NA,NA,"Taylor, Alex/HSF-3308-2023; Gray, Russell D/H-2078-2015; Taylor, Alex H/D-6428-2012","Taylor, Alex/0000-0003-3492-7667; Gray, Russell D/0000-0002-9858-0191;",,NA,NA,NA,Context-dependent tool use in New Caledonian crows.,NA,NA,NA,,NA,NA,NA,Biology Letters,NA,NA,NA,8,2,NA,NA,205,207,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Apr 23 2012,2012,"Humans and chimpanzees both exhibit context-dependent tool use. That is, both species choose to use tools when food is within reach, but the context is potentially hazardous. Here, we show that New Caledonian crows used tools more frequently when food was positioned next to a novel model snake than when food was positioned next to a novel teddy bear or a familiar food bowl. However, the crows showed no significant difference in their neophobic reactions towards the teddy bear and the model snake. Therefore, the crows used tools more in response to a risky object resembling a natural predator than to a less-threatening object that provoked a comparable level of neophobia. These results show that New Caledonian crows, like humans and chimpanzees, are capable of context-dependent tool use.",NA,NA,NA,NA,NA,NA,NA,NA,23,0,1,0,20,0,24,NA,NA,1744-9561,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"University of Auckland, Department of Psychology, Private Bag 92019, Auckland, New Zealand",NA,NA,NA,03/05/2012,ZOOREC:ZOOR14805038536,21900316
1,B,"Matsuzawa, Tetsuro","Wrangham, Richard W.; McGrew, W.C.; de Waal, Frans B.M.; Heltne, Paul G.",NA,NA,,,,NA,NA,NA,Field experiments on use of stone tools by chimpanzees in the wild.,NA,NA,NA,,NA,NA,NA,Chimpanzee cultures.,NA,NA,NA,,,NA,NA,351,370,NA,NA,NA,,NA,NA,NA,NA,NA,,Book chapter,1994,1994,,NA,NA,NA,NA,NA,NA,NA,NA,197,0,0,0,115,1,207,NA,NA,,NA,674116623,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,01/01/1994,ZOOREC:ZOOR13100056265,NA
1,J,"Tanaka, T.; Ono, Y.",,NA,NA,,,,NA,NA,NA,The tool use by foragers of Aphaenogaster famelica.,NA,NA,NA,,NA,NA,NA,Japanese Journal of Ecology,NA,NA,NA,28,1,NA,NA,49,58,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,1978,1978,,NA,NA,NA,NA,NA,NA,NA,NA,17,0,0,0,10,0,19,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,01/01/1978,ZOOREC:ZOOR11500015718,NA
1,J,"Haslam, Michael; Falotico, Tiago",,NA,NA,"Falotico, Tiago/I-1918-2012","Falotico, Tiago/0000-0002-0638-1989; Haslam, Michael/0000-0001-8234-7806",,NA,NA,NA,Nasal probe and toothpick tool use by a wild female bearded capuchin (Sapajus libidinosus).,NA,NA,NA,,NA,NA,NA,Primates,NA,NA,NA,56,3,NA,NA,211,214,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Jul-15,2015,"We report the first observation of probe tool use by a wild adult female bearded capuchin (Sapajus libidniosus), at Serra da Capivara National Park (SCNP), Brazil. This individual used several stick tools and one grass stem to probe her nostrils, usually triggering a sneeze reaction, and also used stick tools to probe her teeth or gum. Both of these behaviours were accompanied by inspection and licking of the tool following use. We have termed these self-directed actions nasal probe and toothpick, and neither has been previously reported in wild capuchins. While stick tool use is common among foraging male capuchins at SCNP, the novel and at present idiosyncratic activities performed by the female monkey add to the known behavioural repertoire for this species.",NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,0,8,0,9,NA,NA,0032-8332,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Oxford, Sch Archaeol, Dyson Perrins Bldg,S Parks Rd, Oxford, OX1 3QY, United Kingdom",NA,NA,NA,26/11/2015,ZOOREC:ZOOR15112082360,25864187
1,J,"Gumert, Michael D.; Hoong, Low Kuan; Malaivijitnond, Suchinda",,NA,NA,"Gumert, Michael/N-2516-2015","Gumert, Michael/0000-0002-7464-4525",,NA,NA,NA,Sex Differences in the Stone Tool-Use Behavior of a Wild Population of Burmese Long-Tailed Macaques (Macaca fascicularis aurea).,NA,NA,NA,,NA,NA,NA,American Journal of Primatology,NA,NA,NA,73,12,NA,NA,1239,1249,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Dec-11,2011,"We investigated sex differences in how Burmese long-tailed macaques (Macaca fascicularis aurea) used stone tools to open shelled food items along the shores of two islands in Laemson National Park, Thailand. Over a 2-week period in December 2009, we collected scan and focal samples on macaques when they were visible along the shores and mangroves. We found females used stones more often while feeding and used smaller tools than males. Females also processed sessile oysters more than males, whereas males processed unattached foods more than females. It was unclear which sex was overall more proficient at stone tool use, but males did perform significantly better at opening unattached food items with large pounding stones. Females also struck food items more times during tool-use bouts and at a faster rate, but no significant difference was found in average tool-use bout duration. Males processed foods slightly faster within a tool-use bout, but we were unable to detect a significant difference in the rate of food processing while foraging with tools. In summary females chipped open sessile oysters with an axing technique more than males, while males used larger stones to pound open unattached shelled food more often than females. Despite using pounding more than females, males also regularly utilized the axing technique on sessile oysters. Our results are the first assessment of sex differences in macaque stone tool use, providing a basis for comparison with tool use in other Primates, and to nonfunctional forms of stone use in other macaques. Am. J. Primatol. 73: 1239-1249, 2011. (C) 2011 Wiley Periodicals, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,41,0,0,0,32,0,49,NA,NA,0275-2565; 1098-2345,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Nanyang Technol Univ, Sch Humanities & Social Sci, Singapore, 639798, Singapore",NA,NA,NA,07/02/2012,ZOOREC:ZOOR14802013929,21905061
1,J,"Lambert, Megan L.; Seed, Amanda M.; Slocombe, Katie E.",,NA,NA,"Slocombe, Katie E/B-8788-2016; Seed, Amanda/E-7285-2010","Slocombe, Katie E/0000-0002-7310-1887; Seed, Amanda/0000-0002-3867-3003",,NA,NA,NA,A novel form of spontaneous tool use displayed by several captive greater vasa parrots (Coracopsis vasa).,NA,NA,NA,,NA,NA,NA,Biology Letters,NA,NA,NA,11,12,NA,NA,20150861,20150861,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Dec 1 2015,2015,"Parrots are frequently cited for their sophisticated problem-solving abilities, but cases of habitual tool use among psittacines are scarce. We report the first evidence, to our knowledge, of tool use by greater vasa parrots (Coracopsis vasa). Several members of a captive population spontaneously adopted a novel tool-using technique by using pebbles and date pits either (i) to scrape on the inner surface of seashells, subsequently licking the resulting calcium powder from the tool, or (ii) as a wedge to break off smaller pieces of the shell for ingestion. Tool use occurred most frequently just prior to the breeding season, during which time numerous instances of tool transfer were also documented. These observations provide newinsights into the tool-using capabilities of parrots and highlight the greater vasa parrot as a species of interest for studies of physical cognition.",NA,NA,NA,NA,NA,NA,NA,NA,16,0,0,0,11,0,16,NA,NA,1744-9561,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Univ York, Dept Psychol, York, N Yorkshire, YO10 5DD, United Kingdom",NA,NA,NA,26/05/2016,ZOOREC:ZOOR15206034021,26673936
1,J,"Pruetz, Jill D.; Bertolani, Paco",,NA,NA,"Pruetz, Jill/A-7202-2009","Pruetz, Jill/0000-0002-9151-8571",,NA,NA,NA,"Savanna chimpanzees, Pan troglodytes verus, hunt with tools.",NA,NA,NA,,NA,NA,NA,Current Biology,NA,NA,NA,17,5,NA,NA,412,417,NA,NA,NA,10.1016/j.cub.2006.12.042,NA,NA,NA,NA,NA,,Article,March 6 2007,2007,"Although tool use is known to occur in species ranging from naked mole rats (1) to owls (2), chimpanzees are the most accomplished tool users (3-5). The modification and use of tools during hunting, however, is still considered to be a uniquely human trait among Primates. Here, we report the first account of habitual tool use during vertebrate hunting by nonhumans. At the Fongoli site in Senegal, we observed ten different chimpanzees use tools to hunt prosimian prey in 22 bouts. This includes immature chimpanzees and females, members of age-sex classes not normally characterized by extensive hunting behavior. Chimpanzees made 26 different tools, and we were able to recover and analyze 12 of these. Tool construction entailed up to five steps, including trimming the tool tip to a point. Tools were used in the manner of a spear, rather than a probe or rousing tool. This new information on chimpanzee tool use has important implications for the evolution of tool use and construction for hunting in the earliest hominids, especially given our observations that females and immature chimpanzees exhibited this behavior more frequently than adult males.",NA,NA,NA,NA,NA,NA,NA,NA,269,1,2,0,173,3,316,NA,NA,0960-9822,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Department of Anthropology, Iowa State University, Ames, Iowa 50010, USA",NA,NA,NA,06/03/2007,ZOOREC:ZOOR14308050787,17320393
1,J,"Jordan, C.",,NA,NA,,,,NA,NA,NA,Object manipulation and tool-use in captive pygmy chimpanzees (Pan paniscus).,NA,NA,NA,,NA,NA,NA,Journal of Human Evolution,NA,NA,NA,11,1,NA,NA,35,39,NA,NA,NA,10.1016/S0047-2484(82)80029-8,NA,NA,NA,NA,NA,,Article,1982,1982,,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0,0,3,0,18,NA,NA,0047-2484,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,01/01/1982,ZOOREC:ZOOR11900055273,NA
1,J,"Duyck, I.; Duyck, J.",,NA,NA,,,,NA,NA,NA,Great tit using instrument to pick up food.,NA,NA,NA,,NA,NA,NA,Wielewaal,NA,NA,NA,50,11,NA,NA,416,416,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,1984,1984,,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,5,0,6,NA,NA,0043-5260,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,01/01/1984,ZOOREC:ZOOR12100059025,NA
1,B,"Russon, Anne E.","Parker, Sue Taylor; Mitchell, Robert W.; Miles, H. Lyn",NA,NA,,,,NA,NA,NA,Orangutans' imitation of tool use: a cognitive interpretation.,NA,NA,NA,,NA,NA,NA,The mentalities of gorillas and orangutans: comparative perspectives.,NA,NA,NA,,,NA,NA,117,146,NA,NA,NA,10.1017/CBO9780511542305.006,NA,NA,NA,NA,NA,,Book chapter,1999,1999,,NA,NA,NA,NA,NA,NA,NA,NA,12,0,0,0,5,0,15,NA,NA,,NA,0-521-58027-7,NA,NA,NA,NA,NA,NA,NA,NA,"Department of Psychology, Glendon College, York University, Toronto, Ontario, M4N 3M6, Canada",NA,NA,NA,01/01/1999,ZOOREC:ZOOR13800012919,NA
