Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
SN Applied Sciences,SN APPL SCI,SPRINGER INT PUBL AG,2523-3963,2523-3971,MULTIDISCIPLINARY SCIENCES,ESCI,"14,164",2.8,Q2,0.46,99.55%
SCIENCE AND ENGINEERING ETHICS,SCI ENG ETHICS,SPRINGER,1353-3452,1471-5546,MULTIDISCIPLINARY SCIENCES,SCIE,"3,127",2.7,Q2,2.59,64.46%
Scientific African,SCI AFR,ELSEVIER,2468-2276,2468-2276,MULTIDISCIPLINARY SCIENCES,ESCI,"4,507",2.7,Q2,0.6,97.35%
Journal of Physics-Complexity,J PHYS-COMPLEXITY,IOP Publishing Ltd,N/A,2632-072X,MULTIDISCIPLINARY SCIENCES,ESCI,453,2.6,Q2,0.92,97.99%
SCIENCE PROGRESS,SCI PROGRESS-UK,SAGE PUBLICATIONS LTD,0036-8504,2047-7163,MULTIDISCIPLINARY SCIENCES,SCIE,"2,520",2.6,Q2,0.86,94.24%
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,ARAB J SCI ENG,SPRINGER HEIDELBERG,2193-567X,2191-4281,MULTIDISCIPLINARY SCIENCES,SCIE,"16,199",2.6,Q2,0.56,4.04%
Natural Sciences,NAT SCI-GER,WILEY,2698-6248,2698-6248,MULTIDISCIPLINARY SCIENCES,ESCI,206,2.6,Q2,0.39,84.72%
Beni-Suef University Journal of Basic and Applied Sciences,BENI-SUEF U J BASIC,SPRINGERNATURE,N/A,2314-8543,MULTIDISCIPLINARY SCIENCES,ESCI,"1,572",2.5,Q2,0.5,100%
Frontiers in Big Data,FRONT BIG DATA,FRONTIERS MEDIA SA,N/A,2624-909X,MULTIDISCIPLINARY SCIENCES,ESCI,"1,128",2.4,Q2,0.51,99.71%
Smart Science,SMART SCI,TAYLOR & FRANCIS LTD,N/A,2308-0477,MULTIDISCIPLINARY SCIENCES,ESCI,389,2.4,Q2,0.44,1%
PeerJ,PEERJ,PEERJ INC,2167-8359,2167-8359,MULTIDISCIPLINARY SCIENCES,SCIE,"42,966",2.3,Q2,0.69,98.63%
Forecasting,FORECASTING-BASEL,MDPI,N/A,2571-9394,MULTIDISCIPLINARY SCIENCES,ESCI,387,2.3,Q2,0.62,99.29%
PNAS Nexus,PNAS NEXUS,OXFORD UNIV PRESS,N/A,2752-6542,MULTIDISCIPLINARY SCIENCES,ESCI,"1,208",2.2,Q2,1.54,82.76%
Symmetry-Basel,SYMMETRY-BASEL,MDPI,N/A,2073-8994,MULTIDISCIPLINARY SCIENCES,SCIE,"25,421",2.2,Q2,0.86,99.58%
Data,DATA-BASEL,MDPI,N/A,2306-5729,MULTIDISCIPLINARY SCIENCES,ESCI,"1,789",2.2,Q2,0.6,99.19%
ISSUES IN SCIENCE AND TECHNOLOGY,ISSUES SCI TECHNOL,NATL ACAD SCIENCES,0748-5492,1938-1557,MULTIDISCIPLINARY SCIENCES,SCIE,677,2.2,Q2,0.28,0%
JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,J ROY SOC NEW ZEAL,TAYLOR & FRANCIS LTD,0303-6758,1175-8899,MULTIDISCIPLINARY SCIENCES,SCIE,"1,110",2.1,Q2,0.69,46.58%
Science of Nature,SCI NAT-HEIDELBERG,SPRINGER HEIDELBERG,0028-1042,1432-1904,MULTIDISCIPLINARY SCIENCES,SCIE,"1,136",2.1,Q2,0.69,24.70%
RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI,REND LINCEI-SCI FIS,SPRINGER-VERLAG ITALIA SRL,2037-4631,1720-0776,MULTIDISCIPLINARY SCIENCES,SCIE,"1,462",2.1,Q2,0.55,33.33%
Heritage,HERITAGE-BASEL,MDPI,2571-9408,2571-9408,MULTIDISCIPLINARY SCIENCES,ESCI,"1,806",2,Q2,4.46,99.66%
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,INT J BIFURCAT CHAOS,WORLD SCIENTIFIC PUBL CO PTE LTD,0218-1274,1793-6551,MULTIDISCIPLINARY SCIENCES,SCIE,"8,047",1.9,Q2,0.73,2.30%
JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE,J INDIAN I SCI,SPRINGER,0970-4140,0019-4964,MULTIDISCIPLINARY SCIENCES,SCIE,936,1.8,Q2,0.22,7.47%
COMPLEXITY,COMPLEXITY,WILEY-HINDAWI,1076-2787,1099-0526,MULTIDISCIPLINARY SCIENCES,SCIE,"9,886",1.7,Q2,0.64,99.61%
Journal of Radiation Research and Applied Sciences,J RADIAT RES APPL SC,ELSEVIER,1687-8507,1687-8507,MULTIDISCIPLINARY SCIENCES,SCIE,"2,319",1.7,Q2,0.58,98.87%
BMC Research Notes,BMC RES NOTES,SPRINGERNATURE,N/A,1756-0500,MULTIDISCIPLINARY SCIENCES,ESCI,"14,827",1.6,Q2,0.46,99.74%
MethodsX,METHODSX,ELSEVIER,N/A,2215-0161,MULTIDISCIPLINARY SCIENCES,ESCI,"4,242",1.6,Q2,0.4,84.38%
SOUTH AFRICAN JOURNAL OF SCIENCE,S AFR J SCI,ACAD SCIENCE SOUTH AFRICA - ASSAf,0038-2353,1996-7489,MULTIDISCIPLINARY SCIENCES,SCIE,"2,970",1.5,Q2,0.4,98.84%
Iranian Journal of Science and Technology Transaction A-Science,IRAN J SCI TECHNOL A,SPRINGER INT PUBL AG,1028-6276,2364-1819,MULTIDISCIPLINARY SCIENCES,SCIE,"1,735",1.4,Q2,0.6,1.78%
Applied Network Science,APPL NETW SCI,SPRINGERNATURE,N/A,2364-8228,MULTIDISCIPLINARY SCIENCES,ESCI,"1,018",1.3,Q2,0.46,100%
DISCRETE DYNAMICS IN NATURE AND SOCIETY,DISCRETE DYN NAT SOC,HINDAWI LTD,1026-0226,1607-887X,MULTIDISCIPLINARY SCIENCES,SCIE,"3,789",1.3,Q2,0.45,99.42%
African Journal of Science Technology Innovation & Development,AFR J SCI TECHNOL IN,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2042-1338,2042-1346,MULTIDISCIPLINARY SCIENCES,ESCI,966,1.3,Q2,0.27,5.91%
Kuwait Journal of Science,KUWAIT J SCI,ELSEVIER,2307-4108,2307-4116,MULTIDISCIPLINARY SCIENCES,SCIE,622,1.2,Q3,0.29,28.99%
Jove-Journal of Visualized Experiments,JOVE-J VIS EXP,JOURNAL OF VISUALIZED EXPERIMENTS,1940-087X,1940-087X,MULTIDISCIPLINARY SCIENCES,SCIE,"23,221",1.2,Q3,0.27,0.64%
EuroBiotech Journal,EUROBIOTECH J,SCIENDO,N/A,2564-615X,MULTIDISCIPLINARY SCIENCES,ESCI,188,1.2,Q3,0.25,98.11%
Baghdad Science Journal,BAGHDAD SCI J,"COLL SCIENCE WOMEN, UNIV BAGHDAD",2078-8665,2411-7986,MULTIDISCIPLINARY SCIENCES,ESCI,"1,037",1.2,Q3,0.23,97.61%
NATIONAL ACADEMY SCIENCE LETTERS-INDIA,NATL ACAD SCI LETT,SPRINGER INDIA,0250-541X,2250-1754,MULTIDISCIPLINARY SCIENCES,SCIE,988,1.2,Q3,0.22,1.05%
ARO-The Scientific Journal of Koya University,ARO,KOYA UNIV,2307-549X,2410-9355,MULTIDISCIPLINARY SCIENCES,ESCI,166,1.2,Q3,0.2,100%
Proceedings of the Indian National Science Academy,P INDIAN NATL SCI AC,INDIAN NAT SCI ACAD,0370-0046,2454-9983,MULTIDISCIPLINARY SCIENCES,ESCI,707,1.2,Q3,0.18,2.84%
Journal of Physical Science,J PHYS SCI,UNIV SAINS MALAYSIA,1675-3402,2180-4230,MULTIDISCIPLINARY SCIENCES,ESCI,642,1.2,Q3,0.17,93.06%
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,AN ACAD BRAS CIENC,ACAD BRASILEIRA DE CIENCIAS,0001-3765,1678-2690,MULTIDISCIPLINARY SCIENCES,SCIE,"5,346",1.1,Q3,0.36,88.74%
Chinese Science Bulletin-Chinese,CHIN SCI B-CHIN,SCIENCE PRESS,0023-074X,2095-9419,MULTIDISCIPLINARY SCIENCES,ESCI,"2,185",1.1,Q3,0.23,0.81%
CURRENT SCIENCE,CURR SCI INDIA,INDIAN ACAD SCIENCES,0011-3891,0011-3891,MULTIDISCIPLINARY SCIENCES,SCIE,"12,194",1.1,Q3,0.22,64.20%
INTERDISCIPLINARY SCIENCE REVIEWS,INTERDISCIPL SCI REV,SAGE PUBLICATIONS INC,0308-0188,1743-2790,MULTIDISCIPLINARY SCIENCES,SCIE,509,1,Q3,0.55,25.23%
Gazi University Journal of Science,GAZI U J SCI,GAZI UNIV,2147-1762,2147-1762,MULTIDISCIPLINARY SCIENCES,ESCI,781,1,Q3,0.29,100%
Data in Brief,DATA BRIEF,ELSEVIER,2352-3409,2352-3409,MULTIDISCIPLINARY SCIENCES,ESCI,"8,611",1,Q3,0.28,95.75%
All Life,ALL LIFE,TAYLOR & FRANCIS LTD,2689-5293,2689-5307,MULTIDISCIPLINARY SCIENCES,SCIE,299,1,Q3,0.26,98.88%
Proceedings of the Estonian Academy of Sciences,P EST ACAD SCI,ESTONIAN ACAD PUBLISHERS,1736-6046,1736-7530,MULTIDISCIPLINARY SCIENCES,SCIE,477,1,Q3,0.23,100%
SCIENCEASIA,SCIENCEASIA,SCIENCE SOCIETY THAILAND,1513-1874,N/A,MULTIDISCIPLINARY SCIENCES,SCIE,"1,023",1,Q3,0.23,84.93%
TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA,T ROY SOC SOUTH AUST,TAYLOR & FRANCIS LTD,0372-1426,2204-0293,MULTIDISCIPLINARY SCIENCES,SCIE,472,0.8,Q3,0.4,13.64%
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES,P NATL A SCI INDIA A,NATL ACAD SCIENCES INDIA,0369-8203,2250-1762,MULTIDISCIPLINARY SCIENCES,SCIE,694,0.8,Q3,0.29,3.31%
DEFENCE SCIENCE JOURNAL,DEFENCE SCI J,DEFENCE SCIENTIFIC INFORMATION DOCUMENTATION CENTRE,0011-748X,0976-464X,MULTIDISCIPLINARY SCIENCES,SCIE,"1,166",0.8,Q3,0.19,85.09%
Makara Journal of Science,MAKARA J SCI,UNIV INDONESIA,2339-1995,2356-0851,MULTIDISCIPLINARY SCIENCES,ESCI,209,0.8,Q3,0.12,98.99%
Malaysian Journal of Fundamental and Applied Sciences,MALAYS J FUNDAM APPL,PENERBIT UTM PRESS,2289-5981,2289-599X,MULTIDISCIPLINARY SCIENCES,ESCI,602,0.8,Q3,0.11,36.19%
AD ALTA-Journal of Interdisciplinary Research,AD ALTA-INTERDISCIP,MAGNANIMITAS,1804-7890,1804-7890,MULTIDISCIPLINARY SCIENCES,ESCI,769,0.7,Q3,0.32,0.09%
Maejo International Journal of Science and Technology,MAEJO INT J SCI TECH,MAEJO UNIV,1905-7873,N/A,MULTIDISCIPLINARY SCIENCES,SCIE,268,0.7,Q3,0.27,1.43%
Chemistry-Didactics-Ecology-Metrology,CHEM-DIDACT-ECOL-MET,SCIENDO,1640-9019,2084-4506,MULTIDISCIPLINARY SCIENCES,ESCI,74,0.7,Q3,0.26,100%
Proceedings of the Romanian Academy Series A-Mathematics Physics Technical Sciences Information Science,P ROMANIAN ACAD A,EDITURA ACAD ROMANE,1454-9069,N/A,MULTIDISCIPLINARY SCIENCES,SCIE,271,0.7,Q3,0.2,0%
Sains Malaysiana,SAINS MALAYS,"UNIV KEBANGSAAN MALAYSIA, FAC SCIENCE & TECHNOLOGY",0126-6039,N/A,MULTIDISCIPLINARY SCIENCES,SCIE,"2,853",0.7,Q3,0.19,99.67%
ADVANCES IN COMPLEX SYSTEMS,ADV COMPLEX SYST,WORLD SCIENTIFIC PUBL CO PTE LTD,0219-5259,1793-6802,MULTIDISCIPLINARY SCIENCES,SCIE,565,0.7,Q3,0.17,7.94%
Technology and Innovation,TECHNOL INNOV,NATL ACAD INVENTORS,1949-8241,1949-825X,MULTIDISCIPLINARY SCIENCES,ESCI,168,0.7,Q3,0.08,15%
Atti Accademia Peloritana dei Pericolanti-Classe di Scienze Fisiche Matematiche e Naturali,ATTI ACCAD PELORIT,ACCAD PELORITANA PERICOLANTI,0365-0359,1825-1242,MULTIDISCIPLINARY SCIENCES,ESCI,448,0.6,Q3,0.23,0%
Uniciencia,UNICIENCIA,"UNIV NACL, FAC CIENCIAS EXACTAS & NATURALES",1011-0275,2215-3470,MULTIDISCIPLINARY SCIENCES,ESCI,131,0.6,Q3,0.22,100%
ACTA SCIENTIARUM-TECHNOLOGY,ACTA SCI-TECHNOL,"UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO",1806-2563,1807-8664,MULTIDISCIPLINARY SCIENCES,SCIE,518,0.6,Q3,0.14,96.09%
Pertanika Journal of Science and Technology,PERTANIKA J SCI TECH,UNIV PUTRA MALAYSIA PRESS,0128-7680,0128-7680,MULTIDISCIPLINARY SCIENCES,ESCI,790,0.6,Q3,0.14,99%
Chiang Mai Journal of Science,CHIANG MAI J SCI,"CHIANG MAI UNIV, FAC SCIENCE",0125-2526,0125-2526,MULTIDISCIPLINARY SCIENCES,SCIE,"1,040",0.6,Q3,0.11,1.63%
Revista Investigaciones Altoandinas-Journal of High Andean Research,REV INVESTIG ALTOAND,UNIV NACL ALTIPLANO,2306-8582,2313-2957,MULTIDISCIPLINARY SCIENCES,ESCI,93,0.6,Q3,0.11,95.71%
Science and Innovation,SCI INNOV,NATL ACAD SCIENCES UKRAINE,2409-9066,2413-4996,MULTIDISCIPLINARY SCIENCES,ESCI,162,0.6,Q3,0.08,39.52%
ENDEAVOUR,ENDEAVOUR,PERGAMON-ELSEVIER SCIENCE LTD,0160-9327,1873-1929,MULTIDISCIPLINARY SCIENCES,SCIE,686,0.5,Q4,0.52,19.15%
Trakya University Journal of Natural Sciences,TRAKYA U J NAT SCI,TRAKYA UNIV BALKAN YERLESESI ENSTITULER BINASI,N/A,2528-9691,MULTIDISCIPLINARY SCIENCES,ESCI,84,0.5,Q4,0.13,94.59%
Journal of Mathematical and Fundamental Sciences,J MATH FUNDAM SCI,INST TEKNOLOGI BANDUNG,2337-5760,2337-5760,MULTIDISCIPLINARY SCIENCES,ESCI,174,0.5,Q4,0.12,97.87%
AMERICAN SCIENTIST,AM SCI,SIGMA XI-SCI RES SOC,0003-0996,1545-2786,MULTIDISCIPLINARY SCIENCES,SCIE,"2,740",0.5,Q4,0.1,0%
HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,HER RUSS ACAD SCI+,MAIK NAUKA/INTERPERIODICA/SPRINGER,1019-3316,1555-6492,MULTIDISCIPLINARY SCIENCES,SCIE,529,0.4,Q4,0.33,22.28%
International Journal of Advanced and Applied Sciences,INT J ADV APPL SCI,INST ADVANCED SCIENCE EXTENSION,2313-626X,2313-3724,MULTIDISCIPLINARY SCIENCES,ESCI,750,0.4,Q4,0.13,98.89%
JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,J NATL SCI FOUND SRI,NATL SCIENCE FOUNDATION SRI LANKA,1391-4588,2362-0161,MULTIDISCIPLINARY SCIENCES,SCIE,502,0.4,Q4,0.11,97.16%
CienciaUat,CIENCIAUAT,UNIV AUTONOMA TAMAULIPAS,2007-7521,2007-7858,MULTIDISCIPLINARY SCIENCES,ESCI,98,0.4,Q4,0.1,100%
Mindanao Journal of Science and Technology,MINDANAO J SCI TECHN,UNIV SCIENCE & TECHNOLOGY SOUTHERN PHILIPPINES,2244-0410,2449-3686,MULTIDISCIPLINARY SCIENCES,ESCI,68,0.4,Q4,0.09,0%
Uchenye Zapiski Kazanskogo Universiteta-Seriya Estestvennye Nauki,UCHEN ZAP KAZ U-ESTE,KAZAN FEDERAL UNIV,2542-064X,2500-218X,MULTIDISCIPLINARY SCIENCES,ESCI,107,0.4,Q4,0.08,88%
Journal of Science and Arts,J SCI ARTS,EDITURA BIBLIOTHECA-BIBLIOTHECA PUBL HOUSE,1844-9581,2068-3049,MULTIDISCIPLINARY SCIENCES,ESCI,248,0.3,Q4,0.19,93.88%
COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES,CR ACAD BULG SCI,PUBL HOUSE BULGARIAN ACAD SCI,1310-1331,N/A,MULTIDISCIPLINARY SCIENCES,SCIE,808,0.3,Q4,0.1,0%
Momona Ethiopian Journal of Science,MOMONA ETHIOP J SCI,"MEKELLE UNIV, COLL NATURAL & COMPUTATIONAL SCIENCES",2073-073X,2073-073X,MULTIDISCIPLINARY SCIENCES,ESCI,190,0.3,Q4,0.06,100%
Journal of the Selva Andina Research Society,J SELVA ANDIN RES SO,SOC INVESTIGACON SELVA ANDINA,2072-9294,2072-9308,MULTIDISCIPLINARY SCIENCES,ESCI,30,0.3,Q4,0.02,4.76%
Avances,AVANCES,CENTRO INFORMACION & GESTION TECNOLOGICA PINAR DEL RIO,1562-3297,1562-3297,MULTIDISCIPLINARY SCIENCES,ESCI,60,0.3,Q4,0.01,0%
JOURNAL OF ADVANCED APPLIED SCIENTIFIC RESEARCH,J ADV APPL SCI RES,JAMAL MOHAMED COLL PUBL,2454-3225,2454-3225,MULTIDISCIPLINARY SCIENCES,ESCI,40,0.2,Q4,0.05,4.31%
Holos,HOLOS,CENTRO FEDERAL EDUCACAO TECNOLOGICA RIO GRANDE NORTE,1518-1634,1807-1600,MULTIDISCIPLINARY SCIENCES,ESCI,307,0.2,Q4,0.03,43.18%
Suranaree Journal of Science and Technology,SURANAREE J SCI TECH,SURANAREE UNIV TECHNOLOGY,0858-849X,0858-849X,MULTIDISCIPLINARY SCIENCES,ESCI,198,0.2,Q4,0.03,0%
Interdisciplinary Studies of Complex Systems,INTERDISCIP STUD COM,DRAGOMANOV NATL PEDAGOGICAL UNIV,2307-4515,2307-4515,MULTIDISCIPLINARY SCIENCES,ESCI,12,0.1,Q4,0.12,97.73%
Estudios-Centro de Estudios Avanzados-Universidad Nacional de Cordoba,ESTUD-CENT ESTUD AV-,"UNIV NAC CORDOBA, CENTRO ESTUDIOS AVANZADOS",0328-185X,1852-1568,MULTIDISCIPLINARY SCIENCES,ESCI,24,0.1,Q4,0.08,0%
Tomsk State University Journal,TOMSK STATE UNIV J,TOMSK STATE UNIV,1561-7793,1561-803X,MULTIDISCIPLINARY SCIENCES,ESCI,292,0.1,Q4,0.05,5.40%
DOKLADY NATSIONALNOI AKADEMII NAUK BELARUSI,DOKL NAN BELARUSI,BELARUSKAYA NAVUKA,1561-8323,2524-2431,MULTIDISCIPLINARY SCIENCES,ESCI,59,0.1,Q4,0.04,96.96%
Journal of Rajasthan Academy of Physical Sciences,J RAJASTHAN ACAD PHY,RAJASTHAN ACAD PHYSICAL SCIENCES-RAOPS,0972-6306,0972-6306,MULTIDISCIPLINARY SCIENCES,ESCI,28,0.1,Q4,0.03,0%
Revista de Investigaciones-Universidad del Quindio,REV INVEST-QUINDIO,UNIV QUINDIO,1794-631X,2500-5782,MULTIDISCIPLINARY SCIENCES,ESCI,45,0.1,Q4,0.03,62.20%
Revista Innovaciencia,REV INNOVACIENCIA,UNIV SANTANDER,2346-075X,2346-075X,MULTIDISCIPLINARY SCIENCES,ESCI,25,0.1,Q4,0.03,100%
Science Diliman,SCI DILIMAN,UNIV PHILIPPINES DILIMAN,0115-7809,0115-7809,MULTIDISCIPLINARY SCIENCES,ESCI,57,0.1,Q4,0.03,0%
Cultura Cientifica,CULT CIENT,FUNDACION UNIV JUAN CASTELLANOS,1657-463X,2389-9638,MULTIDISCIPLINARY SCIENCES,ESCI,14,0.1,Q4,0.02,57.89%
Tecnologia en Marcha,TECNOL MARCHA,INST TECNOLOGICO COSTA RICA,0379-3982,2215-3241,MULTIDISCIPLINARY SCIENCES,ESCI,161,0.1,Q4,0.02,94.35%
Revista Univap,REV UNIVAP,UNIV VALE PARAIBA-UNIVAP,1517-3275,2237-1753,MULTIDISCIPLINARY SCIENCES,ESCI,22,0.1,Q4,0.01,91.11%
Informes Cientificos y Tecnicos,INF CIENTIF TECN,UNIV NAC PATAGONIA AUSTRAL,1852-4516,1852-4516,MULTIDISCIPLINARY SCIENCES,ESCI,41,<0.1,Q4,0.02,88%
Everymans Science,EVERYMANS SCI,INDIAN SCIENCE CONGRESS ASSOC,0531-495X,0531-495X,MULTIDISCIPLINARY SCIENCES,ESCI,15,<0.1,Q4,0.01,0%
