Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,ANN ENTOMOL SOC AM,OXFORD UNIV PRESS INC,0013-8746,1938-2901,ENTOMOLOGY,SCIE,"5,906",3,Q1,0.82,22.38%
Insect Science,INSECT SCI,WILEY,1672-9609,1744-7917,ENTOMOLOGY,SCIE,"3,833",2.9,Q1,1.56,22.41%
JOURNAL OF STORED PRODUCTS RESEARCH,J STORED PROD RES,PERGAMON-ELSEVIER SCIENCE LTD,0022-474X,1879-1212,ENTOMOLOGY,SCIE,"5,002",2.7,Q1,1.28,10.99%
Insects,INSECTS,MDPI,N/A,2075-4450,ENTOMOLOGY,SCIE,"13,260",2.7,Q1,1.26,99.78%
APIDOLOGIE,APIDOLOGIE,SPRINGER FRANCE,0044-8435,1297-9678,ENTOMOLOGY,SCIE,"5,208",2.4,Q1,1.04,35.12%
Journal of Integrated Pest Management,J INTEGR PEST MANAG,OXFORD UNIV PRESS INC,N/A,2155-7470,ENTOMOLOGY,SCIE,"1,038",2.4,Q1,1.04,91.84%
Frontiers in Insect Science,FRONT INSECT SCI,FRONTIERS MEDIA SA,N/A,2673-8600,ENTOMOLOGY,ESCI,218,2.4,Q1,0.76,99.35%
JOURNAL OF INSECT PHYSIOLOGY,J INSECT PHYSIOL,PERGAMON-ELSEVIER SCIENCE LTD,0022-1910,1879-1611,ENTOMOLOGY,SCIE,"8,650",2.3,Q1,1.16,32.54%
INSECT MOLECULAR BIOLOGY,INSECT MOL BIOL,WILEY,0962-1075,1365-2583,ENTOMOLOGY,SCIE,"3,646",2.3,Q1,0.74,21.39%
Current Research in Insect Science,CURR RES INSECT SCI,ELSEVIER,N/A,2666-5158,ENTOMOLOGY,ESCI,106,2.2,Q1,1.19,100%
JOURNAL OF ECONOMIC ENTOMOLOGY,J ECON ENTOMOL,OXFORD UNIV PRESS INC,0022-0493,1938-291X,ENTOMOLOGY,SCIE,"16,211",2.2,Q1,1.04,21.74%
BIOCONTROL,BIOCONTROL,SPRINGER,1386-6141,1573-8248,ENTOMOLOGY,SCIE,"3,231",2.2,Q1,1.03,25.63%
JOURNAL OF MEDICAL ENTOMOLOGY,J MED ENTOMOL,OXFORD UNIV PRESS INC,0022-2585,1938-2928,ENTOMOLOGY,SCIE,"9,961",2.1,Q1,1.07,18.97%
Egyptian Journal of Biological Pest Control,EGYPT J BIOL PEST CO,SPRINGER,1110-1768,2536-9342,ENTOMOLOGY,SCIE,"1,759",2.1,Q1,0.94,100%
JOURNAL OF INSECT SCIENCE,J INSECT SCI,OXFORD UNIV PRESS INC,N/A,1536-2442,ENTOMOLOGY,SCIE,"3,796",2.1,Q1,0.91,93.75%
ECOLOGICAL ENTOMOLOGY,ECOL ENTOMOL,WILEY,0307-6946,1365-2311,ENTOMOLOGY,SCIE,"4,643",2,Q2,0.86,29.39%
Palaeoentomology,PALAEOENTOMOLOGY,MAGNOLIA PRESS,2624-2826,2624-2834,ENTOMOLOGY,ESCI,550,1.9,Q2,0.99,0%
JOURNAL OF INSECT CONSERVATION,J INSECT CONSERV,SPRINGER,1366-638X,1572-9753,ENTOMOLOGY,SCIE,"2,689",1.9,Q2,0.71,37.60%
EXPERIMENTAL AND APPLIED ACAROLOGY,EXP APPL ACAROL,SPRINGER,0168-8162,1572-9702,ENTOMOLOGY,SCIE,"4,359",1.8,Q2,0.92,29.90%
ENVIRONMENTAL ENTOMOLOGY,ENVIRON ENTOMOL,OXFORD UNIV PRESS INC,0046-225X,1938-2936,ENTOMOLOGY,SCIE,"8,896",1.8,Q2,0.89,24.28%
ARTHROPOD STRUCTURE & DEVELOPMENT,ARTHROPOD STRUCT DEV,ELSEVIER SCI LTD,1467-8039,1873-5495,ENTOMOLOGY,SCIE,"1,574",1.7,Q2,0.83,22.22%
JOURNAL OF APPLIED ENTOMOLOGY,J APPL ENTOMOL,WILEY,0931-2048,1439-0418,ENTOMOLOGY,SCIE,"4,009",1.7,Q2,0.79,23.72%
BULLETIN OF ENTOMOLOGICAL RESEARCH,B ENTOMOL RES,CAMBRIDGE UNIV PRESS,0007-4853,1475-2670,ENTOMOLOGY,SCIE,"4,083",1.6,Q2,0.86,15.63%
MEDICAL AND VETERINARY ENTOMOLOGY,MED VET ENTOMOL,WILEY,0269-283X,1365-2915,ENTOMOLOGY,SCIE,"3,068",1.6,Q2,0.85,25.27%
AGRICULTURAL AND FOREST ENTOMOLOGY,AGR FOREST ENTOMOL,WILEY,1461-9555,1461-9563,ENTOMOLOGY,SCIE,"1,723",1.6,Q2,0.72,33.74%
PHYSIOLOGICAL ENTOMOLOGY,PHYSIOL ENTOMOL,WILEY,0307-6962,1365-3032,ENTOMOLOGY,SCIE,"1,847",1.6,Q2,0.65,26.98%
Psyche-A Journal of Entomology,PSYCHE-J ENTOMOL,HINDAWI LTD,0033-2615,1687-7438,ENTOMOLOGY,ESCI,323,1.6,Q2,0.62,100%
Arthropod Systematics & Phylogeny,ARTHROPOD SYST PHYLO,"SENCKENBERG NATURHISTORISCHE SAMMLUNGEN DRESDEN, MUSEUM TIERKUNDE",1863-7221,1864-8312,ENTOMOLOGY,SCIE,496,1.5,Q2,0.8,96%
JOURNAL OF PESTICIDE SCIENCE,J PESTIC SCI,PESTICIDE SCI SOC JAPAN,1348-589X,1349-0923,ENTOMOLOGY,SCIE,"1,241",1.5,Q2,0.67,100%
ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,ARCH INSECT BIOCHEM,WILEY,0739-4462,1520-6327,ENTOMOLOGY,SCIE,"2,337",1.5,Q2,0.61,4.72%
PHYTOPARASITICA,PHYTOPARASITICA,SPRINGER,0334-2123,1876-7184,ENTOMOLOGY,SCIE,"1,948",1.5,Q2,0.53,8.82%
BIOCONTROL SCIENCE AND TECHNOLOGY,BIOCONTROL SCI TECHN,TAYLOR & FRANCIS LTD,0958-3157,1360-0478,ENTOMOLOGY,SCIE,"3,332",1.5,Q2,0.5,7.29%
ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,ENTOMOL EXP APPL,WILEY,0013-8703,1570-7458,ENTOMOLOGY,SCIE,"5,712",1.4,Q2,0.76,19.09%
JOURNAL OF HYMENOPTERA RESEARCH,J HYMENOPT RES,PENSOFT PUBLISHERS,1070-9428,1314-2607,ENTOMOLOGY,SCIE,850,1.4,Q2,0.74,99.59%
JOURNAL OF APICULTURAL RESEARCH,J APICULT RES,TAYLOR & FRANCIS LTD,0021-8839,2078-6913,ENTOMOLOGY,SCIE,"3,800",1.4,Q2,0.69,9.80%
NEOTROPICAL ENTOMOLOGY,NEOTROP ENTOMOL,ENTOMOLOGICAL SOC BRASIL,1519-566X,1678-8052,ENTOMOLOGY,SCIE,"2,279",1.4,Q2,0.69,7.61%
JOURNAL OF VECTOR ECOLOGY,J VECTOR ECOL,SOC VECTOR ECOLOGY,1081-1710,1948-7134,ENTOMOLOGY,SCIE,"1,379",1.4,Q2,0.68,0%
INSECTES SOCIAUX,INSECT SOC,SPRINGER BASEL AG,0020-1812,1420-9098,ENTOMOLOGY,SCIE,"2,523",1.4,Q2,0.58,23.58%
SYSTEMATIC AND APPLIED ACAROLOGY,SYST APPL ACAROL-UK,"SYSTEMATIC & APPLIED ACAROLOGY SOC LONDON, NATURAL HISTORY MUSEUM",1362-1971,2056-6069,ENTOMOLOGY,SCIE,"1,787",1.3,Q2,0.59,0%
BULLETIN OF INSECTOLOGY,B INSECTOL,"ALMA MATER STUDIORUM, UNIV BOLOGNA",1721-8861,2283-0332,ENTOMOLOGY,SCIE,"1,033",1.3,Q2,0.55,0%
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,DEUT ENTOMOL Z,PENSOFT PUBLISHERS,1435-1951,1522-2403,ENTOMOLOGY,SCIE,689,1.3,Q2,0.55,100%
INSECT SYSTEMATICS & EVOLUTION,INSECT SYST EVOL,BRILL,1399-560X,1876-312X,ENTOMOLOGY,SCIE,449,1.3,Q2,0.55,4.08%
ANNALES ZOOLOGICI,ANN ZOOL,MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES,0003-4541,1734-1833,ENTOMOLOGY,SCIE,835,1.3,Q2,0.51,0%
APPLIED ENTOMOLOGY AND ZOOLOGY,APPL ENTOMOL ZOOL,SPRINGER JAPAN KK,0003-6862,1347-605X,ENTOMOLOGY,SCIE,"2,250",1.3,Q2,0.51,11.11%
Asian Myrmecology,ASIAN MYRMECOL,UNIV MALAYSIA SABAH,1985-1944,N/A,ENTOMOLOGY,SCIE,131,1.3,Q2,0.51,0%
ENTOMOLOGICAL RESEARCH,ENTOMOL RES,WILEY,1738-2297,1748-5967,ENTOMOLOGY,SCIE,854,1.2,Q3,0.54,2.44%
Arthropod-Plant Interactions,ARTHROPOD-PLANT INTE,SPRINGER,1872-8855,1872-8847,ENTOMOLOGY,SCIE,"1,535",1.2,Q3,0.52,16.74%
ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE,ANN SOC ENTOMOL FR,TAYLOR & FRANCIS LTD,0037-9271,2168-6351,ENTOMOLOGY,SCIE,"1,630",1.2,Q3,0.45,1.14%
AFRICAN ENTOMOLOGY,AFR ENTOMOL,ENTOMOLOGICAL SOC SOUTHERN AFRICA,1021-3589,2254-8854,ENTOMOLOGY,SCIE,971,1.2,Q3,0.34,36.88%
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,J ASIA-PAC ENTOMOL,KOREAN SOC APPLIED ENTOMOLOGY,1226-8615,1876-7990,ENTOMOLOGY,SCIE,"2,603",1.1,Q3,0.64,7.06%
Austral Entomology,AUSTRAL ENTOMOL,WILEY,2052-1758,2052-174X,ENTOMOLOGY,SCIE,696,1.1,Q3,0.57,22.31%
EUROPEAN JOURNAL OF ENTOMOLOGY,EUR J ENTOMOL,"CZECH ACAD SCI, INST ENTOMOLOGY",N/A,1802-8829,ENTOMOLOGY,SCIE,"1,844",1.1,Q3,0.54,98.35%
European Journal of Taxonomy,EUR J TAXON,MUSEUM NATL HISTOIRE NATURELLE,N/A,2118-9773,ENTOMOLOGY,SCIE,"1,343",1.1,Q3,0.54,98.73%
CANADIAN ENTOMOLOGIST,CAN ENTOMOL,CAMBRIDGE UNIV PRESS,0008-347X,1918-3240,ENTOMOLOGY,SCIE,"3,075",1.1,Q3,0.52,25.87%
INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE,INT J TROP INSECT SC,SPRINGER INT PUBL AG,1742-7584,1742-7592,ENTOMOLOGY,SCIE,"1,582",1.1,Q3,0.5,5.26%
INTERNATIONAL JOURNAL OF PEST MANAGEMENT,INT J PEST MANAGE,TAYLOR & FRANCIS LTD,0967-0874,1366-5863,ENTOMOLOGY,SCIE,"1,612",1.1,Q3,0.49,3.04%
FLORIDA ENTOMOLOGIST,FLA ENTOMOL,WALTER DE GRUYTER GMBH,0015-4040,1938-5102,ENTOMOLOGY,SCIE,"3,672",1.1,Q3,0.47,78.95%
INTERNATIONAL JOURNAL OF ODONATOLOGY,INT J ODONATOL,WACHHOLTZ VERLAG GMBH,1388-7890,2159-6719,ENTOMOLOGY,SCIE,361,1,Q3,0.51,93.55%
JOURNAL OF ARACHNOLOGY,J ARACHNOL,AMER ARACHNOLOGICAL SOC,0161-8202,1937-2396,ENTOMOLOGY,SCIE,"1,362",1,Q3,0.47,2.86%
JOURNAL OF INSECT BEHAVIOR,J INSECT BEHAV,SPRINGER/PLENUM PUBLISHERS,0892-7553,1572-8889,ENTOMOLOGY,SCIE,"1,456",1,Q3,0.47,21.25%
JOURNAL OF ORTHOPTERA RESEARCH,J ORTHOPTERA RES,PENSOFT PUBLISHERS,1082-6467,1937-2426,ENTOMOLOGY,ESCI,417,1,Q3,0.39,96.77%
ACAROLOGIA,ACAROLOGIA,ACAROLOGIA-UNIVERSITE PAUL VALERY,0044-586X,2107-7207,ENTOMOLOGY,SCIE,"1,508",0.9,Q3,0.55,92.05%
INTERNATIONAL JOURNAL OF ACAROLOGY,INT J ACAROL,TAYLOR & FRANCIS INC,0164-7954,1945-3892,ENTOMOLOGY,SCIE,"1,265",0.9,Q3,0.51,3.45%
TURKIYE ENTOMOLOJI DERGISI-TURKISH JOURNAL OF ENTOMOLOGY,TURK ENTOMOL DERG-TU,"ENTOMOLOGICAL SOC TURKEY, EGE UNIV",1010-6960,2536-491X,ENTOMOLOGY,SCIE,658,0.9,Q3,0.44,99.19%
JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,J AM MOSQUITO CONTR,AMER MOSQUITO CONTROL ASSOC,8756-971X,1943-6270,ENTOMOLOGY,SCIE,"1,970",0.9,Q3,0.39,98.35%
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,NARODNI MUZEUM - PRIRODOVEDECKE MUZEUM,0374-1036,1804-6487,ENTOMOLOGY,SCIE,421,0.9,Q3,0.33,0%
AFRICAN INVERTEBRATES,AFR INVERTEBR,COUNCIL NATAL MUSEUM,1681-5556,2305-2562,ENTOMOLOGY,SCIE,235,0.8,Q3,0.33,97.14%
COLEOPTERISTS BULLETIN,COLEOPTS BULL,COLEOPTERISTS SOC,0010-065X,1938-4394,ENTOMOLOGY,SCIE,"1,160",0.8,Q3,0.29,0%
Persian Journal of Acarology,PERSIAN J ACAROL,ACAROLOGICAL SOCIETY IRAN,N/A,2251-8169,ENTOMOLOGY,ESCI,183,0.7,Q4,0.44,0%
ENTOMOLOGICAL SCIENCE,ENTOMOL SCI,WILEY,1343-8786,1479-8298,ENTOMOLOGY,SCIE,916,0.7,Q4,0.36,7.37%
REVISTA BRASILEIRA DE ENTOMOLOGIA,REV BRAS ENTOMOL,SOC BRASILEIRA ENTOMOLOGIA,0085-5626,1806-9665,ENTOMOLOGY,SCIE,"1,271",0.7,Q4,0.34,92.14%
SOCIOBIOLOGY,SOCIOBIOLOGY,UNIV ESTADUAL FEIRA SANTANA,0361-6525,N/A,ENTOMOLOGY,SCIE,"1,264",0.7,Q4,0.33,91.54%
JOURNAL OF ENTOMOLOGICAL SCIENCE,J ENTOMOL SCI,GEORGIA ENTOMOLOGICAL SOC INC,0749-8004,N/A,ENTOMOLOGY,SCIE,829,0.7,Q4,0.32,1.68%
JOURNAL OF APICULTURAL SCIENCE,J APIC SCI,SCIENDO,1643-4439,2299-4831,ENTOMOLOGY,SCIE,484,0.7,Q4,0.31,100%
ARTHROPODA SELECTA,ARTHROPODA SEL,"KMK SCIENTIFIC PRESS LTD, MOSCOW STATE UNIV",0136-006X,N/A,ENTOMOLOGY,SCIE,371,0.7,Q4,0.3,83.01%
NOTA LEPIDOPTEROLOGICA,NOTA LEPIDOPTEROLOGI,PENSOFT PUBLISHERS,0342-7536,2367-5365,ENTOMOLOGY,SCIE,175,0.7,Q4,0.3,97.87%
Journal of Insect Biodiversity,J INSECT BIODIVERS,MAGNOLIA PRESS,2538-1318,2147-7612,ENTOMOLOGY,ESCI,121,0.7,Q4,0.26,0%
NEW ZEALAND ENTOMOLOGIST,NZ ENTOMOL,TAYLOR & FRANCIS LTD,0077-9962,1179-3430,ENTOMOLOGY,SCIE,187,0.6,Q4,0.19,11.76%
PAN-PACIFIC ENTOMOLOGIST,PAN-PAC ENTOMOL,PACIFIC COAST ENTOMOL SOC,0031-0603,2162-0237,ENTOMOLOGY,SCIE,520,0.6,Q4,0.15,0%
AQUATIC INSECTS,AQUAT INSECT,TAYLOR & FRANCIS LTD,0165-0424,1744-4152,ENTOMOLOGY,SCIE,431,0.5,Q4,0.35,2.63%
FRAGMENTA ENTOMOLOGICA,FRAGM ENTOMOL,UNIV DEGLI STUDI DI ROMA LA SAPIENZA,0429-288X,2284-4880,ENTOMOLOGY,ESCI,246,0.5,Q4,0.32,0%
ODONATOLOGICA,ODONATOLOGICA,SOC INT ODONATOLOGICA,0375-0183,0375-0183,ENTOMOLOGY,SCIE,434,0.5,Q4,0.31,0%
REVISTA DE LA SOCIEDAD ENTOMOLOGICA ARGENTINA,REV SOC ENTOMOL ARGE,SOC ENTOMOLOGICA ARGENTINA,0373-5680,1851-7471,ENTOMOLOGY,SCIE,423,0.5,Q4,0.22,82.40%
REVISTA COLOMBIANA DE ENTOMOLOGIA,REV COLOMB ENTOMOL,SOC COLOMBIANA ENTOMOLOGIA-SOCOLEN,0120-0488,0120-0488,ENTOMOLOGY,SCIE,508,0.5,Q4,0.13,95.77%
Alpine Entomology,ALP ENTOMOL,PENSOFT PUBLISHERS,N/A,2535-0889,ENTOMOLOGY,ESCI,50,0.4,Q4,0.33,100%
ENTOMOLOGICAL NEWS,ENTOMOL NEWS,AMER ENTOMOL SOC,0013-872X,2162-3236,ENTOMOLOGY,SCIE,816,0.4,Q4,0.21,0%
ORIENTAL INSECTS,ORIENT INSECTS,TAYLOR & FRANCIS LTD,0030-5316,2157-8745,ENTOMOLOGY,SCIE,422,0.4,Q4,0.21,1.03%
TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY,T AM ENTOMOL SOC,AMER ENTOMOL SOC,0002-8320,2162-3139,ENTOMOLOGY,SCIE,752,0.4,Q4,0.2,0%
PROCEEDINGS OF THE ENTOMOLOGICAL SOCIETY OF WASHINGTON,P ENTOMOL SOC WASH,ENTOMOL SOC WASHINGTON,0013-8797,0013-8797,ENTOMOLOGY,SCIE,"1,302",0.4,Q4,0.18,0%
Entomologica Americana,ENTOMOL AM-NY,NEW YORK ENTOMOLOGICAL SOC INC,1947-5136,1947-5144,ENTOMOLOGY,SCIE,123,0.3,Q4,0.17,0%
JOURNAL OF THE ENTOMOLOGICAL RESEARCH SOCIETY,J ENTOMOL RES SOC,GAZI ENTOMOLOGICAL RESEARCH SOC,N/A,2651-3579,ENTOMOLOGY,SCIE,246,0.3,Q4,0.17,0%
JOURNAL OF THE LEPIDOPTERISTS SOCIETY,J LEPID SOC,LEPIDOPTERISTS SOC,0024-0966,N/A,ENTOMOLOGY,SCIE,414,0.3,Q4,0.15,0%
SOUTHWESTERN ENTOMOLOGIST,SOUTHWEST ENTOMOL,SOUTHWESTERN ENTOMOLOGICAL SOC,0147-1724,2162-2647,ENTOMOLOGY,SCIE,738,0.3,Q4,0.15,0%
JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,J KANSAS ENTOMOL SOC,KANSAS ENTOMOLOGICAL SOC,0022-8567,1937-2353,ENTOMOLOGY,SCIE,"1,337",0.2,Q4,0.19,0%
JAPANESE JOURNAL OF APPLIED ENTOMOLOGY AND ZOOLOGY,JPN J APPL ENTOMOL Z,JAPAN SOC APPL ENTOMOL ZOOL,0021-4914,1347-6068,ENTOMOLOGY,SCIE,269,0.2,Q4,0.15,94.74%
SHILAP-REVISTA DE LEPIDOPTEROLOGIA,SHILAP-REV LEPIDOPT,SOC HISPANO-LUSO-AMER LEPIDOPTEROLOGIA-SHILAP,0300-5267,2340-4078,ENTOMOLOGY,SCIE,239,0.2,Q4,0.14,37.11%
,,,,,,,,,,,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,
