Name,Category,X2023.JIF,Group,Notes
Biodiversity Data Journal,BIODIVERSITY CONSERVATION,1,Applied,
Biodiversity Observations,NA,NA,NA,
Biodiversity Science,NA,NA,NA,
Bioinfolet,NA,NA,NA,
Biol Bull,BIOLOGY,2.1,Other_bio,"Second category is marine and freshwater bio. From journal website: ""Originally published by the Marine Biological Laboratory, The Biological Bulletin seeks to disseminate novel scientific results in broadly related fields of biology in keeping with more than 100 years of a tradition of excellence. The Biological Bulletin publishes outstanding original research with an overarching goal of explaining how organisms develop, function, and evolve in their natural environments. To that end, the journal publishes papers in the fields of Neurobiology and Behavior, Physiology and Biomechanics, Ecology and Evolution, Development and Reproduction, Cell Biology, Symbiosis and Systematics. The Biological Bulletin emphasizes basic research on marine systems but also publishes articles of an interdisciplinary nature and on non-marine topics that fit the journal’s fundamental aims."" Not general due to marine emphasis. "
Biol. Nauki,NA,NA,NA,
Biologia Bratislava,NA,NA,NA,
Biologia Gabonica,NA,NA,NA,
Biologia Marina Mediterranea,NA,NA,NA,
Biological Bulletin (Woods Hole),BIOLOGY,2.1,Other_bio,"Second category is marine and freshwater bio. From journal website: ""Originally published by the Marine Biological Laboratory, The Biological Bulletin seeks to disseminate novel scientific results in broadly related fields of biology in keeping with more than 100 years of a tradition of excellence. The Biological Bulletin publishes outstanding original research with an overarching goal of explaining how organisms develop, function, and evolve in their natural environments. To that end, the journal publishes papers in the fields of Neurobiology and Behavior, Physiology and Biomechanics, Ecology and Evolution, Development and Reproduction, Cell Biology, Symbiosis and Systematics. The Biological Bulletin emphasizes basic research on marine systems but also publishes articles of an interdisciplinary nature and on non-marine topics that fit the journal’s fundamental aims."" Not general due to marine emphasis. "
Biological Bulletin Wood's Hole,BIOLOGY,2.1,Other_bio,"Second category is marine and freshwater bio. From journal website: ""Originally published by the Marine Biological Laboratory, The Biological Bulletin seeks to disseminate novel scientific results in broadly related fields of biology in keeping with more than 100 years of a tradition of excellence. The Biological Bulletin publishes outstanding original research with an overarching goal of explaining how organisms develop, function, and evolve in their natural environments. To that end, the journal publishes papers in the fields of Neurobiology and Behavior, Physiology and Biomechanics, Ecology and Evolution, Development and Reproduction, Cell Biology, Symbiosis and Systematics. The Biological Bulletin emphasizes basic research on marine systems but also publishes articles of an interdisciplinary nature and on non-marine topics that fit the journal’s fundamental aims."" Not general due to marine emphasis. "
Biological Conservation,ECOLOGY,4.9,Applied,
Biological Invasions,ECOLOGY,2.8,Applied,
Biological Journal of the Linnean Society,EVOLUTIONARY BIOLOGY,2,General,"From journal website: ""The Biological Journal of the Linnean Society is a direct descendant of the oldest biological journal in the world, which published the epoch-making papers on evolution by Darwin and Wallace. The Journal specializes in evolution in the broadest sense and covers all taxonomic groups in all five kingdoms. It covers all the methods used to study evolution, whether whole-organism or molecular, practical or theoretical. The Biological Journal of the Linnean Society is published online-only."""
Biological Magazine Okinawa,NA,NA,NA,
Biological Memoirs,NA,NA,NA,
Biological Reviews,BIOLOGY,11,General,No second cat.  
Biological Reviews (Cambridge),BIOLOGY,11,General,No second cat.  
Biological Reviews of the Cambridge Philosophical Society,BIOLOGY - SCIE,6.433,General,JCR year 2000. No second cat.
Biological Theory,HISTORY & PHILOSOPHY OF SCIENCE,1.9,Other_bio,
Biologicheskii Zhurnal Armenii,NA,NA,NA,
Biologie in Unserer Zeit,NA,NA,NA,
Biologisches Zentralblatt Leipzig,NA,NA,NA,
Biologist - Lima,NA,NA,NA,
Biologist (London),NA,NA,NA,
Biology & Philosophy,HISTORY & PHILOSOPHY OF SCIENCE,1.7,Other_bio,
Biology and Fertility of Soils,SOIL SCIENCE,5.1,Applied,
Biology Bulletin,BIOLOGY,0.5,General,"No second cat. From journal website: ""Biology Bulletin is a peer-reviewed journal focusing on fundamental research across various biology disciplines. Encompasses theoretical and evolutionary biology, cell biology, biochemistry, developmental biology, zoology, genetics, botany, plant physiology, animal and human physiology, and ecology."""
Biology Letters,ECOLOGY,2.8,General,"Second category is biology, third evolutionary biology. From journal website: ""The scope of Biology Letters is vast - publishing high-quality research in any area of the biological sciences."""
Biology of Behaviour,NA,NA,NA,
Biology of Inland Waters,NA,NA,NA,
Bionotes,NA,NA,NA,
Bioscan,NA,NA,NA,
Bioscience,BIOLOGY,7.6,General,No second cat.
Biosphere Bulletin,NA,NA,NA,
Biosystems,BIOLOGY,2,Other_bio,"Second category is mathematical and computational. From journal website: ""BioSystems encourages theoretical, computational and experimental articles that link biology, evolutionary concepts, and the information processing sciences. The journal is dedicated to developing the consequences of the discoveries of biological information and of the genetic code - with the view of obtaining a better understanding of the origins and evolution of biological organization, biological adaptability, and the origin of mind and language. The scope of the journal encompasses the fundamental nature of biological information processing. This includes quantum phenomena in information transfer, natural computing, biological coding systems, biological complexity, theoretical biology, artificial life, computational modeling of complex biological systems, evolutionary models of computation, application of biological principles to the design of novel computing systems, and the use of biomolecular materials to synthesize artificial systems that capture essential principles of natural biological information processing. The journal does not publish purely medical, computational, or ecological research, unless it is clearly linked to the basic and conceptual aspects of biological organization."""
Biota (Race),NA,NA,NA,
Biotechnologie Agronomie Societe et Environnement,ENVIRONMENTAL SCIENCES,0.8,Applied,Second category is agronomy
Biotropica,ECOLOGY,1.8,Ecology,
Biovigyanam,NA,NA,NA,
Bird Behaviour,NA,NA,NA,
Bird Conservation International,BIODIVERSITY CONSERVATION,1.5,Applied,
Bird Life,NA,NA,NA,
Bird Lore Harrisburg,NA,NA,NA,
Bird Numbers,NA,NA,NA,
Bird Observer (Arlington),NA,NA,NA,
Bird Observer (Nunawading),NA,NA,NA,
Bird Research,NA,NA,NA,
Bird Study,ORNITHOLOGY,0.7,Taxon,
Bird-Banding,NA,NA,NA,
BIRD-BANDING,NA,NA,NA,
Bird-Banding Boston,NA,NA,NA,
Birding in Southern Africa,NA,NA,NA,
BirdingASIA,NA,NA,NA,
Birdlife Jamaica Broadsheet,NA,NA,NA,
Birds and Country,NA,NA,NA,
Birds and Wildlife in Cumbria,NA,NA,NA,
Birds in Northumbria,NA,NA,NA,
Birds of Prey Bulletin,NA,NA,NA,
Blue Jay,NA,NA,NA,
BMC Biology,BIOLOGY,4.4,General,No second cat.
BMC Ecology,ECOLOGY - SCIE,3.368,Ecology,
BMC Ecology and Evolution,ECOLOGY,2.3,Ecology,
BMC Evolutionary Biology,EVOLUTIONARY BIOLOGY - SCIE,3.4,Ecology,"Now known as BMC ecology and evolution. From journal website: ""an open access, peer-reviewed journal interested in all aspects of ecological and evolutionary biology."""
BMC Genomics,GENETICS & HEREDITY,3.5,Applied,Second cat is biotech and applied microbio
Bocagiana,NA,NA,NA,
Bocagiana (Funchal),NA,NA,NA,
Bokmakierie,NA,NA,NA,
Boletim do Museo Goeldi (Zool),NA,NA,NA,
Boletim do Museu de Biologia Mello Leitao,NA,NA,NA,
Boletim do Museu Municipal do Funchal,NA,NA,NA,
Boletim do Museu Paraense Emilio Goeldi Ciencias Naturais,NA,NA,NA,
Boletin Chileno de Ornitologia,NA,NA,NA,
Boletin de la SEA,NA,NA,NA,
Boletin de la Sociedad Zoologica del Uruguay Segunda Epoca,NA,NA,NA,
Boletin del Centro de Investigaciones Biologicas Universidad del Zulia,NA,NA,NA,
Boletin del Museo de Entomologia de la Universidad del Valle,NA,NA,NA,
Boletin SAO,NA,NA,NA,
Boll 1st Patol Libro,NA,NA,NA,
Bollettino del Museo Civico di Storia Naturale di Venezia,NA,NA,NA,
Bollettino del Museo Civico di Storia Naturale di Verona,NA,NA,NA,
Bollettino del Museo di Storia Naturale di Venezia,NA,NA,NA,
Bollettino dell'Istituto di Entomologia della Universita degli Studi di Bologna,NA,NA,NA,
Bollettino dell'Istituto di Entomologia della Universita di Bologna,NA,NA,NA,
Bollettino della Societa Entomologica Italiana,NA,NA,NA,
Bollettino di Zoologia,ZOOLOGY - SCIE,0.521,Zoology,
Bombay Natural History Society Annual Report,NA,NA,NA,
Bonner Zoologische Beitraege,NA,NA,NA,
Bonner Zoologische Monographien,GEOLOGY - SCIE,0.5,Zoology,"Ambiguous, favouring journal title. See also: https://bonn.leibniz-lib.de/en/research/publications/bonn-zoological-bulletin"
Bosque,FORESTRY,0.3,Applied,
BPA Report DOE/BP,NA,NA,NA,
Br. Birds,NA,NA,NA,
Brain Behavior and Evolution,ZOOLOGY,2.1,Cognition,
Brain Research,NEUROSCIENCES,2.7,Cognition,
Brain Research Bulletin,NEUROSCIENCES,3.5,Cognition,
Branta Transactions of the Azov-Black Sea Ornithological Station,NA,NA,NA,
Braunschweiger Naturkundliche Schriften,NA,NA,NA,
Brazilian Journal of Biology,BIOLOGY - SCIE,1.651,General,"No second cat. From journal website: ""To publish original articles in all fields concerning Biological Sciences."""
Brazilian Journal of Medical and Biological Research,BIOLOGY,1.9,Applied,"Second cat is medicine, research & experimental"
Brazilian Journal of Veterinary Research and Animal Science,NA,NA,NA,
Brenesia,NA,NA,NA,
Brimleyana,ZOOLOGY - SCIE,0.143,Zoology,
Bristol Ornithology,NA,NA,NA,
British Birds,NA,NA,NA,
British Journal of Animal Behaviour,NA,NA,NA,
British Journal of Herpetology,NA,NA,NA,
British Wildlife,NA,NA,NA,
BTO News,NA,NA,NA,
Buckinghamshire Bird Club Newsletter,NA,NA,NA,
Bull Acad Sci URSS Biol,NA,NA,NA,
Bull. Acad. pol. Sci. (Ser. Sci. biol.),NA,NA,NA,
Bulletin & Annales de la Societe Royale Belge d'Entomologie,NA,NA,NA,
Bulletin Alabama Museum of Natural History,NA,NA,NA,
Bulletin biol Fr Belg,NA,NA,NA,
Bulletin Biologique de la France et de la Belgique,NA,NA,NA,
Bulletin Connecticut Agricultural Experiment Station,NA,NA,NA,
Bulletin d'Ecologie,NA,NA,NA,
Bulletin de la Societe d'Histoire Naturelle du Pays de Montbeliard,NA,NA,NA,
Bulletin de la Societe des Naturalistes de Moscou Sect Biol,NA,NA,NA,
Bulletin de la Societe des Sciences Naturelles de l'Ouest de la France,NA,NA,NA,
