Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
CULTURE MEDICINE AND PSYCHIATRY,CULT MED PSYCHIAT,SPRINGER,0165-005X,1573-076X,ANTHROPOLOGY,SSCI,"1,454",1.5,Q2,0.76,32.28%
Anthropology Today,ANTHROPOL TODAY,WILEY,0268-540X,1467-8322,ANTHROPOLOGY,ESCI,730,1.5,Q2,0.7,46.84%
Anthropology & Medicine,ANTHROPOL MED,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1364-8470,1469-2910,ANTHROPOLOGY,SSCI,578,1.5,Q2,0.57,38.46%
ANTHROPOLOGY & EDUCATION QUARTERLY,ANTHROPOL EDUC QUART,WILEY,0161-7761,1548-1492,ANTHROPOLOGY,SSCI,"1,125",1.4,Q2,0.85,15.28%
Social Anthropology,SOC ANTHROPOL,BERGHAHN JOURNALS,0964-0282,1469-8676,ANTHROPOLOGY,SSCI,"1,172",1.4,Q2,0.77,62.50%
Focaal-Journal of Global and Historical Anthropology,FOCAAL,BERGHAHN JOURNALS,0920-1297,1558-5263,ANTHROPOLOGY,SSCI,484,1.4,Q2,0.72,93.33%
Polar-Political and Legal Anthropology Review,POLAR-POLIT LEG ANTH,"WILEY PERIODICALS, INC",1081-6976,1555-2934,ANTHROPOLOGY,SSCI,640,1.4,Q2,0.61,37.50%
Trabajos de Prehistoria,TRABAJOS PREHIST,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,0082-5638,1988-3218,ANTHROPOLOGY,SSCI,521,1.3,Q2,1.19,96.15%
Critical African Studies,CRIT AFR STUD,TAYLOR & FRANCIS LTD,2168-1392,2040-7211,ANTHROPOLOGY,ESCI,273,1.3,Q2,1.03,19.35%
Nawpa Pacha,NAWPA PACHA,TAYLOR & FRANCIS LTD,0077-6297,2051-6207,ANTHROPOLOGY,ESCI,116,1.3,Q2,0.65,0%
AFRICA,AFRICA,CAMBRIDGE UNIV PRESS,0001-9720,1750-0184,ANTHROPOLOGY,SSCI,"1,400",1.2,Q2,0.87,41.67%
JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE,J ROY ANTHROPOL INST,WILEY,1359-0987,1467-9655,ANTHROPOLOGY,SSCI,"2,619",1.2,Q2,0.83,41.83%
Food and Foodways,FOOD FOODWAYS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0740-9710,1542-3484,ANTHROPOLOGY,ESCI,361,1.2,Q2,0.78,30.77%
Economic Anthropology,ECON ANTHROPOL,WILEY,2330-4847,2330-4847,ANTHROPOLOGY,SSCI,352,1.2,Q2,0.75,33.80%
ANTHROPOLOGY OF CONSCIOUSNESS,ANTHROPOL CONSCIOUS,WILEY,1053-4202,1556-3537,ANTHROPOLOGY,ESCI,217,1.2,Q2,0.71,11.48%
ANNALS OF HUMAN BIOLOGY,ANN HUM BIOL,TAYLOR & FRANCIS LTD,0301-4460,1464-5033,ANTHROPOLOGY,SSCI,"2,053",1.2,Q2,0.55,34.86%
ARCHAEOLOGY IN OCEANIA,ARCHAEOL OCEAN,WILEY,0728-4896,1834-4453,ANTHROPOLOGY,SSCI,538,1.1,Q2,5.24,43.40%
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,COMP STUD SOC HIST,CAMBRIDGE UNIV PRESS,0010-4175,1475-2999,ANTHROPOLOGY,SSCI,"2,559",1.1,Q2,1.56,66.06%
PUBLIC CULTURE,PUBLIC CULTURE,DUKE UNIV PRESS,0899-2363,1527-8018,ANTHROPOLOGY,SSCI,"2,903",1.1,Q2,1.1,0%
Anthropological Theory,ANTHROPOL THEOR,SAGE PUBLICATIONS LTD,1463-4996,1741-2641,ANTHROPOLOGY,SSCI,"1,250",1.1,Q2,0.96,32.26%
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,INT J OSTEOARCHAEOL,WILEY,1047-482X,1099-1212,ANTHROPOLOGY,SSCI,"2,343",1.1,Q2,0.83,26%
AUSTRALIAN ARCHAEOLOGY,AUST ARCHAEOL,TAYLOR & FRANCIS LTD,0312-2417,2470-0363,ANTHROPOLOGY,SSCI,459,1.1,Q2,0.79,36.17%
Field Methods,FIELD METHOD,SAGE PUBLICATIONS INC,1525-822X,1552-3969,ANTHROPOLOGY,SSCI,"3,223",1.1,Q2,0.78,22.47%
LATIN AMERICAN ANTIQUITY,LAT AM ANTIQ,CAMBRIDGE UNIV PRESS,1045-6635,2325-5080,ANTHROPOLOGY,SSCI,"1,350",1.1,Q2,0.77,29.23%
Anthropology in Action-Journal for Applied Anthropology in Policy and Practice,ANTHROPOL ACTION,BERGHAHN JOURNALS,0967-201X,1752-2285,ANTHROPOLOGY,ESCI,240,1.1,Q2,0.73,96%
NOMADIC PEOPLES,NOMAD PEOPLES,WHITE HORSE PRESS,0822-7942,1752-2366,ANTHROPOLOGY,ESCI,337,1.1,Q2,0.58,34.38%
Signs and Society,SIGNS SOC,UNIV CHICAGO PRESS,2326-4489,2326-4497,ANTHROPOLOGY,SSCI,249,1,Q2,0.86,81.82%
ETHNOS,ETHNOS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0014-1844,1469-588X,ANTHROPOLOGY,SSCI,"1,362",1,Q2,0.75,37.79%
JOURNAL OF ANTHROPOLOGICAL RESEARCH,J ANTHROPOL RES,UNIV CHICAGO PRESS,0091-7710,2153-3806,ANTHROPOLOGY,SSCI,"1,085",1,Q2,0.63,0%
Social Analysis,SOC ANAL,BERGHAHN JOURNALS,0155-977X,1558-5727,ANTHROPOLOGY,SSCI,725,1,Q2,0.6,91.18%
DIALECTICAL ANTHROPOLOGY,DIALECT ANTHROPOL,SPRINGER,0304-4092,1573-0786,ANTHROPOLOGY,ESCI,436,1,Q2,0.47,34%
Anthropological Forum,ANTHROPOL FORUM,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0066-4677,1469-2902,ANTHROPOLOGY,SSCI,395,0.9,Q3,0.92,41.54%
JOURNAL OF MATERIAL CULTURE,J MAT CULT,SAGE PUBLICATIONS LTD,1359-1835,1460-3586,ANTHROPOLOGY,SSCI,815,0.9,Q3,0.64,35.62%
Anthropology Southern Africa,ANTHROPOL SOUTH AFR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2332-3256,2332-3264,ANTHROPOLOGY,SSCI,198,0.9,Q3,0.55,6.52%
Cambridge Journal of Anthropology,CAMB J ANTHROPOL,BERGHAHN JOURNALS,0305-7674,2047-7716,ANTHROPOLOGY,ESCI,357,0.9,Q3,0.45,94.29%
Childhood in the Past,CHILD PAST,TAYLOR & FRANCIS LTD,1758-5716,2040-8528,ANTHROPOLOGY,ESCI,34,0.8,Q3,1.25,30.77%
Ethnography,ETHNOGRAPHY,SAGE PUBLICATIONS LTD,1466-1381,1741-2714,ANTHROPOLOGY,SSCI,"1,554",0.8,Q3,0.6,19.86%
ANTHROPOLOGICAL QUARTERLY,ANTHROPOL QUART,GEORGE WASHINGTON UNIV INST ETHNOGRAPHIC RESEARCH,0003-5491,1534-1518,ANTHROPOLOGY,SSCI,"1,247",0.8,Q3,0.43,0%
International Indigenous Policy Journal,INT INDIG POLICY J,UNIV WESTERN ONTARIO,1916-5781,1916-5781,ANTHROPOLOGY,ESCI,444,0.8,Q3,0.42,78.85%
Intersecciones en Antropologia,INTERSECCIONES ANTRO,"UNIV NACL CENTRO PROVINCIA BUENOS AIRES (UNICEN), FAC CIENCIAS SOCIALES",1850-373X,1850-373X,ANTHROPOLOGY,SSCI,384,0.8,Q3,0.3,95.12%
Magallania,MAGALLANIA,UNIV MAGALLANES,0718-2244,0718-2244,ANTHROPOLOGY,SSCI,358,0.8,Q3,0.24,85.29%
Annals of Anthropological Practice,ANN ANTHROPL PRACT,WILEY,2153-957X,2153-9588,ANTHROPOLOGY,ESCI,268,0.7,Q3,0.6,10.42%
Journal of Latin American and Caribbean Anthropology,J LAT AM CARIBB ANTH,WILEY,1935-4932,1935-4940,ANTHROPOLOGY,SSCI,461,0.7,Q3,0.5,23.30%
Asia Pacific Journal of Anthropology,ASIA PAC J ANTHROPOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1444-2213,1740-9314,ANTHROPOLOGY,SSCI,337,0.7,Q3,0.49,23.88%
Museum Anthropology,MUS ANTHROPOL,WILEY,0892-8339,1548-1379,ANTHROPOLOGY,ESCI,154,0.7,Q3,0.49,14.81%
ANTHROPOZOOLOGICA,ANTHROPOZOOLOGICA,"PUBLICATIONS SCIENTIFIQUES DU MUSEUM, PARIS",0761-3032,2107-0881,ANTHROPOLOGY,SSCI,282,0.7,Q3,0.45,0%
Visual Anthropology Review,VIS ANTHR REV,WILEY,1058-7187,1548-7458,ANTHROPOLOGY,ESCI,254,0.7,Q3,0.37,29.51%
Ethnobiology Letters,ETHNOBIOL LETT,SOC ETHNOBIOLOGY,2159-8126,2159-8126,ANTHROPOLOGY,ESCI,182,0.7,Q3,0.34,93.55%
Chungara-Revista de Antropologia Chilena,CHUNGARA,UNIV TARAPACA,0717-7356,0717-7356,ANTHROPOLOGY,SSCI,799,0.7,Q3,0.33,76.03%
HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY,HOMO,E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG,0018-442X,1618-1301,ANTHROPOLOGY,SSCI,516,0.7,Q3,0.32,0%
Relaciones,RELACIONES-ARG,SOC ARGENTINA ANTROPOLOGIA,0325-2221,1852-1479,ANTHROPOLOGY,ESCI,544,0.7,Q3,0.27,67.39%
History and Anthropology,HIST ANTHROPOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0275-7206,1477-2612,ANTHROPOLOGY,SSCI,615,0.6,Q3,1.34,36.11%
Praehistorische Zeitschrift,PRAEHIST Z,WALTER DE GRUYTER GMBH,0079-4848,1613-0804,ANTHROPOLOGY,SSCI,229,0.6,Q3,0.9,11.93%
Anthropology of Work Review,ANTHROPOL WORK REV,WILEY,0883-024X,1548-1417,ANTHROPOLOGY,ESCI,157,0.6,Q3,0.52,31.03%
City & Society,CITY SOC,WILEY,0893-0465,1548-744X,ANTHROPOLOGY,ESCI,577,0.6,Q3,0.44,23.81%
ANTHROPOLOGIE,ANTHROPOLOGIE,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,0003-5521,1873-5827,ANTHROPOLOGY,SSCI,743,0.6,Q3,0.42,13.71%
ETHOS,ETHOS,WILEY,0091-2131,1548-1352,ANTHROPOLOGY,SSCI,"1,272",0.6,Q3,0.4,36.73%
HUMAN ORGANIZATION,HUM ORGAN,TAYLOR & FRANCIS LTD,0018-7259,1938-3525,ANTHROPOLOGY,SSCI,"1,371",0.5,Q3,0.43,0%
Australian Journal of Anthropology,AUST J ANTHROPOL,WILEY,1035-8811,1757-6547,ANTHROPOLOGY,SSCI,328,0.5,Q3,0.36,31.58%
HAU-Journal of Ethnographic Theory,HAU-J ETHNOGR THEORY,UNIV CHICAGO PRESS,2575-1433,2049-1115,ANTHROPOLOGY,SSCI,"1,355",0.5,Q3,0.36,0.58%
Estudios Atacamenos,ESTUD ATACAMENOS,"UNIV CATOLICA NORTE, Inst Invest Arqueologicas y Museo RP Gustavo Le Paige",0718-1043,0718-1043,ANTHROPOLOGY,SSCI,510,0.5,Q3,0.3,91%
Revista Espanola de Antropologia Americana,REV ESP ANTROPOL AM,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",0556-6533,1988-2718,ANTHROPOLOGY,ESCI,229,0.5,Q3,0.17,100%
Antropologia Portuguesa,ANTROPOL PORT,COIMBRA UNIV PRESS,0870-0990,2182-7982,ANTHROPOLOGY,ESCI,20,0.5,Q3,0.16,100%
JOURNAL OF HISTORICAL SOCIOLOGY,J HIST SOCIOL,WILEY,0952-1909,1467-6443,ANTHROPOLOGY,SSCI,686,0.4,Q3,1.09,20.51%
JOURNAL OF FAMILY HISTORY,J FAM HIST,SAGE PUBLICATIONS INC,0363-1990,1552-5473,ANTHROPOLOGY,SSCI,426,0.4,Q3,0.68,14.71%
ANTHROPOLOGISCHER ANZEIGER,ANTHROPOL ANZ,E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG,0003-5548,0003-5548,ANTHROPOLOGY,SSCI,391,0.4,Q3,0.5,0%
OCEANIA,OCEANIA,WILEY,0029-8077,1834-4461,ANTHROPOLOGY,SSCI,548,0.4,Q3,0.38,44.64%
JOURNAL OF THE POLYNESIAN SOCIETY,J POLYNESIAN SOC,POLYNESIAN SOC INC,0032-4000,2230-5955,ANTHROPOLOGY,SSCI,394,0.4,Q3,0.37,0%
Anthropological Notebooks,ANTHROPOL NOTEB,SLOVENE ANTHROPOLOGICAL SOC,1408-032X,N/A,ANTHROPOLOGY,SSCI,164,0.4,Q3,0.23,0%
Visual Anthropology,VIS ANTHROPOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0894-9468,1545-5920,ANTHROPOLOGY,ESCI,226,0.4,Q3,0.21,19.30%
ETHNOHISTORY,ETHNOHISTORY,DUKE UNIV PRESS,0014-1801,1527-5477,ANTHROPOLOGY,SSCI,668,0.3,Q4,0.74,0%
BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE,BIJDR TAAL-LAND-V,BRILL,0006-2294,2213-4379,ANTHROPOLOGY,SSCI,366,0.3,Q4,0.71,60%
Inter-Asia Cultural Studies,INTER-ASIA CULT STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1464-9373,1469-8447,ANTHROPOLOGY,SSCI,625,0.3,Q4,0.58,7.95%
Slovensky Narodopis-Slovak Ethnology,SLOVENSKY NARODOP,"SLOVAK ACAD SCIENCES, INST ETHNOLOGY",1335-1303,1339-9357,ANTHROPOLOGY,ESCI,84,0.3,Q4,0.26,87.50%
Archaeology Ethnology and Anthropology of Eurasia,ARCHAEOL ETHNOL ANTH,PLEIADES PUBLISHING INC,1563-0110,1531-832X,ANTHROPOLOGY,ESCI,409,0.3,Q4,0.25,17.11%
Anthropological Journal of European Cultures,ANTHROPOL J EUR CULT,BERGHAHN JOURNALS,1755-2923,1755-2931,ANTHROPOLOGY,ESCI,105,0.3,Q4,0.23,93.48%
ZEITSCHRIFT FUR ETHNOLOGIE - Journal of Social and Cultural Anthropology,Z ETHNOL,DIETRICH REIMER VERLAG,0044-2666,N/A,ANTHROPOLOGY,SSCI,148,0.3,Q4,0.14,0%
Etnoantropoloski Problemi-Issues in Ethnology and Anthropology,ETNOANTROPOLOSKI PRO,"UNIV BELGRADE, FAC PHILOSOPHY",0353-1589,2334-8801,ANTHROPOLOGY,ESCI,115,0.3,Q4,0.12,90.08%
AIBR-Revista de Antropologia Iberoamericana,AIBR-REV ANTROPOL IB,ASOC ANTROPOLOGOS IBEROAMERICANOS EN RED,1695-9752,1578-9705,ANTHROPOLOGY,SSCI,219,0.3,Q4,0.11,53.97%
Studia Ethnologica Croatica,STUD ETHNOL CROAT,"UNIV ZAGREB, FAC HUMANITIES & SOCIAL SCIENCES, DEPT ETHNOL & CULT ANTHROPOL",1330-3627,1848-9532,ANTHROPOLOGY,ESCI,35,0.3,Q4,0.1,100%
Anthropologie et Sante-Revue Internationale Francophone d Anthropologie de la Sante,ANTHROPOL SANTE,ASSOC AMADES,2111-5028,2111-5028,ANTHROPOLOGY,ESCI,44,0.3,Q4,0.07,78.95%
Estudios de Cultura Maya,ESTUD CULT MAYA,"UNIV NAC AUTONOMA MEXICO, INST INVESTIGACIONES FILOLOGICAS",0185-2574,2448-5179,ANTHROPOLOGY,ESCI,192,0.3,Q4,0.06,100%
Romani Studies,ROMANI STUD,LIVERPOOL UNIV PRESS,1528-0748,1757-2274,ANTHROPOLOGY,SSCI,58,0.2,Q4,0.32,36.67%
Urbanities-Journal of Urban Ethnography,URBANITIES,"IUAES, COMMISSION URBAN ANTHROPOLOGY",2239-5725,2239-5725,ANTHROPOLOGY,ESCI,60,0.2,Q4,0.3,0%
Interdisciplinaria Archaeologica-Natural Sciences in Archaeology,INTERDISCIP ARCHAEOL,UNIV HRADEC KRALOVE,1804-848X,2336-1220,ANTHROPOLOGY,ESCI,40,0.2,Q4,0.23,96.15%
Anthropologie-International Journal of Human Diversity and Evolution,ANTHROPOL-INT J HUM,MORAVIAN MUSEUM,0323-1119,0323-1119,ANTHROPOLOGY,ESCI,126,0.2,Q4,0.15,0%
Etnoloska Tribina,ETHNOLOSKA TRIB,CROATIAN ETHNOLOGICAL SOC,0351-1944,1848-9540,ANTHROPOLOGY,ESCI,33,0.2,Q4,0.15,88%
Reviews in Anthropology,REV ANTHR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0093-8157,1556-3014,ANTHROPOLOGY,ESCI,128,0.2,Q4,0.12,12.50%
Tomskii Zhurnal Lingvisticheskikh i Antropologicheskikh Issledovanii-Tomsk Journal of Linguistics and Anthropology,TOMSK ZH LINGVIST AN,TOMSK STATE PEDAGOGICAL UNIV,2307-6119,2307-6119,ANTHROPOLOGY,ESCI,44,0.2,Q4,0.07,41.36%
ANTHROPOS,ANTHROPOS,NOMOS VERLAGSGESELLSCHAFT MBH & CO KG,0257-9774,N/A,ANTHROPOLOGY,SSCI,510,0.2,Q4,0.05,0%
Revista de Antropologia Social,REV ANTROPOL SOC,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",1131-558X,1988-2831,ANTHROPOLOGY,ESCI,147,0.2,Q4,0.05,93.33%
Cuadernos de Antropologia,CUAD ANTROPOL,"UNIV COSTA RICA, FAC CIENCIAS SOCIALES",1409-3138,2215-356X,ANTHROPOLOGY,ESCI,39,0.1,Q4,0.08,100%
Journal de la Societe des Americanistes,J SOC AMERICANISTES,"UNIV PARIS X PARIS-NANTERRE, ARCHEOLOGIE & ETHNOLOGIE",0037-9174,1957-7842,ANTHROPOLOGY,ESCI,242,0.1,Q4,0.05,30%
CAHIERS D ETUDES AFRICAINES,CAH ETUD AFR,EDITIONS ECOLE HAUTESETUDES & SCIENCES SOCIALES,0008-0055,1777-5353,ANTHROPOLOGY,ESCI,311,0.1,Q4,0.04,12.12%
Journal of Urban Ethnology,J URBAN ETHNOL,"POLISH ACAD SCIENCES, INST ARCHAEOLOGY & ETHNOLOGY",1429-0618,1429-0618,ANTHROPOLOGY,ESCI,4,0.1,Q4,0.04,95.45%
Visual Ethnography,VIS ETHNOGR,UNIV BASILICATA,2281-1605,2281-1605,ANTHROPOLOGY,ESCI,26,0.1,Q4,0.04,0%
Ethnologies,ETHNOLOGIES,FOLKLORE STUDIES ASSOC CANADA,1481-5974,1708-0401,ANTHROPOLOGY,ESCI,46,0.1,Q4,0.03,0%
Boletin Antropologico,BOL ANTROPOL,UNIV LOS ANDES,0257-750X,0257-750X,ANTHROPOLOGY,ESCI,32,0.1,Q4,0.02,7.89%
Gazeta de Antropologia,GAZ ANTROPOL,ASOC GRANADINA ANTROPOLOGIA,2340-2792,2340-2792,ANTHROPOLOGY,ESCI,121,0.1,Q4,0,0%
Etudes Inuit Studies,ETUDES INUIT STUD,"UNIV LAVAL, FAC SCIENCES SOCIALES",0701-1008,0701-1008,ANTHROPOLOGY,ESCI,54,<0.1,Q4,0.02,0%
Sociology Lens,SOCIOLOGY LENS,WILEY,2832-5796,2832-580X,ANTHROPOLOGY,SSCI,0,N/A,N/A,N/A,N/A
,,,,,,,,,,,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,
