Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
NATURE MEDICINE,NAT MED,NATURE PORTFOLIO,1078-8956,1546-170X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"129,261",58.7,Q1,13.63,47.38%
NATURE MEDICINE,NAT MED,NATURE PORTFOLIO,1078-8956,1546-170X,CELL BIOLOGY,SCIE,"129,261",58.7,Q1,13.63,47.38%
NATURE MEDICINE,NAT MED,NATURE PORTFOLIO,1078-8956,1546-170X,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"129,261",58.7,Q1,13.63,47.38%
ANNALS OF ONCOLOGY,ANN ONCOL,ELSEVIER,0923-7534,1569-8041,ONCOLOGY,SCIE,"64,002",56.7,Q1,7.49,88.05%
CHEMICAL REVIEWS,CHEM REV,AMER CHEMICAL SOC,0009-2665,1520-6890,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"230,794",51.4,Q1,4.32,18.73%
NATURE,NATURE,NATURE PORTFOLIO,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES,SCIE,"912,552",50.5,Q1,11.28,34.42%
Nature Reviews Methods Primers,NAT REV METHOD PRIME,SPRINGERNATURE,N/A,2662-8449,MULTIDISCIPLINARY SCIENCES,ESCI,"4,515",50.1,Q1,8.14,5.97%
Nature Energy,NAT ENERGY,NATURE PORTFOLIO,2058-7546,2058-7546,ENERGY & FUELS,SCIE,"46,820",49.7,Q1,7.92,14.62%
Nature Energy,NAT ENERGY,NATURE PORTFOLIO,2058-7546,2058-7546,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"46,820",49.7,Q1,7.92,14.62%
Nature Reviews Earth & Environment,NAT REV EARTH ENV,SPRINGERNATURE,N/A,2662-138X,ENVIRONMENTAL SCIENCES,SCIE,"8,321",49.7,Q1,5.01,0.64%
Nature Reviews Earth & Environment,NAT REV EARTH ENV,SPRINGERNATURE,N/A,2662-138X,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"8,321",49.7,Q1,5.01,0.64%
CANCER CELL,CANCER CELL,CELL PRESS,1535-6108,1878-3686,CELL BIOLOGY,SCIE,"52,068",48.8,Q1,7.56,78.65%
CANCER CELL,CANCER CELL,CELL PRESS,1535-6108,1878-3686,ONCOLOGY,SCIE,"52,068",48.8,Q1,7.56,78.65%
LANCET NEUROLOGY,LANCET NEUROL,ELSEVIER SCIENCE INC,1474-4422,1474-4465,CLINICAL NEUROLOGY,SCIE,"47,501",46.5,Q1,10.99,19.23%
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,NATURE PORTFOLIO,1759-5045,1759-5053,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"26,749",45.9,Q1,8.14,4.32%
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,AMER PHYSICAL SOC,0034-6861,1539-0756,"PHYSICS, MULTIDISCIPLINARY",SCIE,"57,818",45.9,Q1,4.04,10.89%
CELL,CELL,CELL PRESS,0092-8674,1097-4172,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"305,198",45.5,Q1,10.01,83.50%
CELL,CELL,CELL PRESS,0092-8674,1097-4172,CELL BIOLOGY,SCIE,"305,198",45.5,Q1,10.01,83.50%
Nature Reviews Physics,NAT REV PHYS,NATURE PORTFOLIO,N/A,2522-5820,"PHYSICS, APPLIED",SCIE,"8,134",44.8,Q1,2.75,3.52%
Nature Reviews Physics,NAT REV PHYS,NATURE PORTFOLIO,N/A,2522-5820,"PHYSICS, MULTIDISCIPLINARY",SCIE,"8,134",44.8,Q1,2.75,3.52%
SCIENCE,SCIENCE,AMER ASSOC ADVANCEMENT SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES,SCIE,"763,009",44.7,Q1,9.91,4.53%
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,ELSEVIER SCIENCE INC,2213-8587,2213-8595,ENDOCRINOLOGY & METABOLISM,SCIE,"19,590",44,Q1,8.57,17.82%
eScience,ESCIENCE,KEAI PUBLISHING LTD,N/A,2667-1417,ELECTROCHEMISTRY,ESCI,"3,827",42.9,Q1,6.67,97.08%
eScience,ESCIENCE,KEAI PUBLISHING LTD,N/A,2667-1417,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,"3,827",42.9,Q1,6.67,97.08%
Nature Catalysis,NAT CATAL,NATURE PORTFOLIO,2520-1158,2520-1158,"CHEMISTRY, PHYSICAL",SCIE,"25,392",42.8,Q1,5.29,10.13%
JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,LIPPINCOTT WILLIAMS & WILKINS,0732-183X,1527-7755,ONCOLOGY,SCIE,"169,257",42.1,Q1,6.46,29.96%
Nature Reviews Cardiology,NAT REV CARDIOL,NATURE PORTFOLIO,1759-5002,1759-5010,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"18,575",41.7,Q1,7.04,3.18%
LANCET ONCOLOGY,LANCET ONCOL,ELSEVIER SCIENCE INC,1470-2045,1474-5488,ONCOLOGY,SCIE,"72,752",41.6,Q1,9.64,18.31%
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,2095-9907,2059-3635,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"29,874",40.8,Q1,4.42,99.57%
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,2095-9907,2059-3635,CELL BIOLOGY,SCIE,"29,874",40.8,Q1,4.42,99.57%
CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,ROYAL SOC CHEMISTRY,0306-0012,1460-4744,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"174,686",40.4,Q1,3.17,26.20%
NATURE REVIEWS GENETICS,NAT REV GENET,NATURE PORTFOLIO,1471-0056,1471-0064,GENETICS & HEREDITY,SCIE,"40,757",39.1,Q1,5.75,6.34%
Lancet Respiratory Medicine,LANCET RESP MED,ELSEVIER SCI LTD,2213-2600,N/A,CRITICAL CARE MEDICINE,SCIE,"24,191",38.7,Q1,11.49,32.20%
Lancet Respiratory Medicine,LANCET RESP MED,ELSEVIER SCI LTD,2213-2600,N/A,RESPIRATORY SYSTEM,SCIE,"24,191",38.7,Q1,11.49,32.20%
Joule,JOULE,CELL PRESS,2542-4351,2542-4351,"CHEMISTRY, PHYSICAL",SCIE,"38,070",38.6,Q1,4.41,74.39%
Joule,JOULE,CELL PRESS,2542-4351,2542-4351,ENERGY & FUELS,SCIE,"38,070",38.6,Q1,4.41,74.39%
Joule,JOULE,CELL PRESS,2542-4351,2542-4351,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"38,070",38.6,Q1,4.41,74.39%
Nature Nanotechnology,NAT NANOTECHNOL,NATURE PORTFOLIO,1748-3387,1748-3395,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"76,128",38.1,Q1,5.15,11.20%
Nature Nanotechnology,NAT NANOTECHNOL,NATURE PORTFOLIO,1748-3387,1748-3395,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"76,128",38.1,Q1,5.15,11.20%
Nature Reviews Chemistry,NAT REV CHEM,NATURE PORTFOLIO,N/A,2397-3358,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"12,247",38.1,Q1,2.61,3.85%
EUROPEAN HEART JOURNAL,EUR HEART J,OXFORD UNIV PRESS,0195-668X,1522-9645,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"84,437",37.6,Q1,7.74,42.36%
MMWR Surveillance Summaries,MMWR SURVEILL SUMM,CENTERS DISEASE CONTROL & PREVENTION,1545-8636,1545-8636,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,"3,442",37.3,Q1,8.49,72.41%
NATURE MATERIALS,NAT MATER,NATURE PORTFOLIO,1476-1122,1476-4660,"CHEMISTRY, PHYSICAL",SCIE,"108,002",37.2,Q1,6.43,10.78%
NATURE MATERIALS,NAT MATER,NATURE PORTFOLIO,1476-1122,1476-4660,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"108,002",37.2,Q1,6.43,10.78%
NATURE MATERIALS,NAT MATER,NATURE PORTFOLIO,1476-1122,1476-4660,"PHYSICS, APPLIED",SCIE,"108,002",37.2,Q1,6.43,10.78%
NATURE MATERIALS,NAT MATER,NATURE PORTFOLIO,1476-1122,1476-4660,"PHYSICS, CONDENSED MATTER",SCIE,"108,002",37.2,Q1,6.43,10.78%
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,ELSEVIER SCI LTD,1473-3099,1474-4457,INFECTIOUS DISEASES,SCIE,"41,047",36.4,Q1,8.48,31.71%
NATURE METHODS,NAT METHODS,NATURE PORTFOLIO,1548-7091,1548-7105,BIOCHEMICAL RESEARCH METHODS,SCIE,"112,995",36.1,Q1,10.09,33.54%
CIRCULATION,CIRCULATION,LIPPINCOTT WILLIAMS & WILKINS,0009-7322,1524-4539,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"173,789",35.5,Q1,8.42,28.34%
CIRCULATION,CIRCULATION,LIPPINCOTT WILLIAMS & WILKINS,0009-7322,1524-4539,PERIPHERAL VASCULAR DISEASE,SCIE,"173,789",35.5,Q1,8.42,28.34%
ADVANCES IN PHYSICS,ADV PHYS,TAYLOR & FRANCIS LTD,0001-8732,1460-6976,"PHYSICS, CONDENSED MATTER",SCIE,"5,882",35,Q1,2.07,0%
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,N/A,1553-877X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",SCIE,"27,842",34.4,Q1,9.38,24.68%
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,N/A,1553-877X,TELECOMMUNICATIONS,SCIE,"27,842",34.4,Q1,9.38,24.68%
Nature Electronics,NAT ELECTRON,NATURE PORTFOLIO,2520-1131,2520-1131,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"15,284",33.7,Q1,5.94,11.99%
PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,PERGAMON-ELSEVIER SCIENCE LTD,0079-6425,1873-2208,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"29,821",33.6,Q1,2.39,21.33%
Innovation,INNOVATION-AMSTERDAM,CELL PRESS,2666-6758,2666-6758,MULTIDISCIPLINARY SCIENCES,ESCI,"5,342",33.2,Q1,4.53,88.72%
NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,NATURE PORTFOLIO,1087-0156,1546-1696,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"90,606",33.1,Q1,8.38,36.18%
Energy & Environmental Science,ENERG ENVIRON SCI,ROYAL SOC CHEMISTRY,1754-5692,1754-5706,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"110,768",32.4,Q1,4.39,20.18%
Energy & Environmental Science,ENERG ENVIRON SCI,ROYAL SOC CHEMISTRY,1754-5692,1754-5706,ENERGY & FUELS,SCIE,"110,768",32.4,Q1,4.39,20.18%
Energy & Environmental Science,ENERG ENVIRON SCI,ROYAL SOC CHEMISTRY,1754-5692,1754-5706,"ENGINEERING, CHEMICAL",SCIE,"110,768",32.4,Q1,4.39,20.18%
Energy & Environmental Science,ENERG ENVIRON SCI,ROYAL SOC CHEMISTRY,1754-5692,1754-5706,ENVIRONMENTAL SCIENCES,SCIE,"110,768",32.4,Q1,4.39,20.18%
Nature Photonics,NAT PHOTONICS,NATURE PORTFOLIO,1749-4885,1749-4893,OPTICS,SCIE,"54,824",32.3,Q1,7.85,16.52%
Nature Photonics,NAT PHOTONICS,NATURE PORTFOLIO,1749-4885,1749-4893,"PHYSICS, APPLIED",SCIE,"54,824",32.3,Q1,7.85,16.52%
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,PERGAMON-ELSEVIER SCIENCE LTD,0360-1285,1873-216X,ENERGY & FUELS,SCIE,"17,065",32,Q1,2.32,44.12%
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,PERGAMON-ELSEVIER SCIENCE LTD,0360-1285,1873-216X,"ENGINEERING, CHEMICAL",SCIE,"17,065",32,Q1,2.32,44.12%
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,PERGAMON-ELSEVIER SCIENCE LTD,0360-1285,1873-216X,"ENGINEERING, MECHANICAL",SCIE,"17,065",32,Q1,2.32,44.12%
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,PERGAMON-ELSEVIER SCIENCE LTD,0360-1285,1873-216X,THERMODYNAMICS,SCIE,"17,065",32,Q1,2.32,44.12%
NATURE GENETICS,NAT GENET,NATURE PORTFOLIO,1061-4036,1546-1718,GENETICS & HEREDITY,SCIE,"104,387",31.7,Q1,8.81,35.62%
Nano-Micro Letters,NANO-MICRO LETT,SHANGHAI JIAO TONG UNIV PRESS,2311-6706,2150-5551,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"24,745",31.6,Q1,4.58,99.85%
Nano-Micro Letters,NANO-MICRO LETT,SHANGHAI JIAO TONG UNIV PRESS,2311-6706,2150-5551,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"24,745",31.6,Q1,4.58,99.85%
Nano-Micro Letters,NANO-MICRO LETT,SHANGHAI JIAO TONG UNIV PRESS,2311-6706,2150-5551,"PHYSICS, APPLIED",SCIE,"24,745",31.6,Q1,4.58,99.85%
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,ELSEVIER SCIENCE SA,0927-796X,1879-212X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"9,807",31.6,Q1,2.03,29.87%
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,ELSEVIER SCIENCE SA,0927-796X,1879-212X,"PHYSICS, APPLIED",SCIE,"9,807",31.6,Q1,2.03,29.87%
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,NATURE PORTFOLIO,1759-5029,1759-5037,ENDOCRINOLOGY & METABOLISM,SCIE,"20,965",31,Q1,4.86,4.58%
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,ELSEVIER INC,N/A,2468-1253,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"13,312",30.9,Q1,6.52,15.28%
Lancet Psychiatry,LANCET PSYCHIAT,ELSEVIER SCI LTD,2215-0374,N/A,PSYCHIATRY,"SCIE, SSCI","19,411",30.8,Q1,8.64,27.31%
Physiological Reviews,PHYSIOL REV,AMER PHYSIOLOGICAL SOC,0031-9333,1522-1210,PHYSIOLOGY,SCIE,"36,950",29.9,Q1,4.62,13.38%
Cancer Discovery,CANCER DISCOV,AMER ASSOC CANCER RESEARCH,2159-8274,2159-8290,ONCOLOGY,SCIE,"33,545",29.7,Q1,6.62,36.96%
Nature Climate Change,NAT CLIM CHANGE,NATURE PORTFOLIO,1758-678X,1758-6798,ENVIRONMENTAL SCIENCES,SCIE,"46,843",29.6,Q1,5.51,23.41%
Nature Climate Change,NAT CLIM CHANGE,NATURE PORTFOLIO,1758-678X,1758-6798,ENVIRONMENTAL STUDIES,SSCI,"46,843",29.6,Q1,5.51,23.41%
Nature Climate Change,NAT CLIM CHANGE,NATURE PORTFOLIO,1758-678X,1758-6798,METEOROLOGY & ATMOSPHERIC SCIENCES,SCIE,"46,843",29.6,Q1,5.51,23.41%
Journal of Hematology & Oncology,J HEMATOL ONCOL,BMC,N/A,1756-8722,HEMATOLOGY,SCIE,"22,387",29.5,Q1,4.16,99.70%
Journal of Hematology & Oncology,J HEMATOL ONCOL,BMC,N/A,1756-8722,ONCOLOGY,SCIE,"22,387",29.5,Q1,4.16,99.70%
Nature Reviews Rheumatology,NAT REV RHEUMATOL,NATURE PORTFOLIO,1759-4790,1759-4804,RHEUMATOLOGY,SCIE,"15,825",29.4,Q1,5.5,2.76%
NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,NATURE PORTFOLIO,1471-003X,1471-0048,NEUROSCIENCES,SCIE,"46,285",28.7,Q1,4.28,1.46%
Advanced Powder Materials,ADV POWDER MATER,KEAI PUBLISHING LTD,N/A,2772-834X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,"1,723",28.6,Q1,8.38,97.56%
Nature Reviews Nephrology,NAT REV NEPHROL,NATURE PORTFOLIO,1759-5061,1759-507X,UROLOGY & NEPHROLOGY,SCIE,"16,046",28.6,Q1,6.93,4.05%
Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,ANNUAL REVIEWS,1553-4006,1553-4014,PATHOLOGY,SCIE,"8,517",28.4,Q1,6.49,36.92%
Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,SPRINGERNATURE,2520-8489,2520-8136,ELECTROCHEMISTRY,SCIE,"4,343",28.4,Q1,1.92,29.90%
Nature Reviews Neurology,NAT REV NEUROL,NATURE PORTFOLIO,1759-4758,1759-4766,CLINICAL NEUROLOGY,SCIE,"19,986",28.2,Q1,5.97,1.46%
CELL RESEARCH,CELL RES,SPRINGERNATURE,1001-0602,1748-7838,CELL BIOLOGY,SCIE,"27,759",28.1,Q1,3.64,62.42%
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,SPRINGER,0935-4956,1432-0754,ASTRONOMY & ASTROPHYSICS,SCIE,"2,942",27.8,Q1,3.63,68.18%
Cell Metabolism,CELL METAB,CELL PRESS,1550-4131,1932-7420,CELL BIOLOGY,SCIE,"58,139",27.7,Q1,5.43,81.03%
Cell Metabolism,CELL METAB,CELL PRESS,1550-4131,1932-7420,ENDOCRINOLOGY & METABOLISM,SCIE,"58,139",27.7,Q1,5.43,81.03%
Molecular Cancer,MOL CANCER,BMC,N/A,1476-4598,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"36,560",27.7,Q1,5.26,100%
Molecular Cancer,MOL CANCER,BMC,N/A,1476-4598,ONCOLOGY,SCIE,"36,560",27.7,Q1,5.26,100%
NATURE IMMUNOLOGY,NAT IMMUNOL,NATURE PORTFOLIO,1529-2908,1529-2916,IMMUNOLOGY,SCIE,"54,409",27.7,Q1,5.19,22.49%
ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"392,263",27.4,Q1,4.09,18.14%
ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,"CHEMISTRY, PHYSICAL",SCIE,"392,263",27.4,Q1,4.09,18.14%
ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"392,263",27.4,Q1,4.09,18.14%
ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"392,263",27.4,Q1,4.09,18.14%
ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,"PHYSICS, APPLIED",SCIE,"392,263",27.4,Q1,4.09,18.14%
ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,"PHYSICS, CONDENSED MATTER",SCIE,"392,263",27.4,Q1,4.09,18.14%
eLight,ELIGHT,SPRINGERNATURE,2097-1710,2662-8643,OPTICS,ESCI,"1,077",27.2,Q1,7.08,100%
INTENSIVE CARE MEDICINE,INTENS CARE MED,SPRINGER,0342-4642,1432-1238,CRITICAL CARE MEDICINE,SCIE,"30,470",27.1,Q1,4.55,37.75%
Annual Review of Immunology,ANNU REV IMMUNOL,ANNUAL REVIEWS,0732-0582,1545-3278,IMMUNOLOGY,SCIE,"18,947",26.9,Q1,3.01,35.53%
JOURNAL OF HEPATOLOGY,J HEPATOL,ELSEVIER,0168-8278,1600-0641,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"62,886",26.8,Q1,5.97,41.81%
Nature Biomedical Engineering,NAT BIOMED ENG,NATURE PORTFOLIO,2157-846X,2157-846X,"ENGINEERING, BIOMEDICAL",SCIE,"16,578",26.8,Q1,5.32,16.57%
Living Reviews in Relativity,LIVING REV RELATIV,SPRINGER INT PUBL AG,2367-3613,1433-8351,"PHYSICS, PARTICLES & FIELDS",SCIE,"3,904",26.3,Q1,3.91,100%
Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,ANNUAL REVIEWS,0066-4146,1545-4282,ASTRONOMY & ASTROPHYSICS,SCIE,"15,350",26.3,Q1,3.8,34.29%
Science Robotics,SCI ROBOT,AMER ASSOC ADVANCEMENT SCIENCE,2470-9476,2470-9476,ROBOTICS,SCIE,"11,700",26.1,Q1,5.66,0%
PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,PERGAMON-ELSEVIER SCIENCE LTD,0079-6700,1873-1619,POLYMER SCIENCE,SCIE,"27,463",26,Q1,2.16,23.87%
Gastroenterology,GASTROENTEROLOGY,W B SAUNDERS CO-ELSEVIER INC,0016-5085,1528-0012,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"90,123",25.7,Q1,5.63,40.41%
Nature Sustainability,NAT SUSTAIN,NATURE PORTFOLIO,2398-9629,2398-9629,ENVIRONMENTAL SCIENCES,SCIE,"18,380",25.7,Q1,4.51,19.28%
Nature Sustainability,NAT SUSTAIN,NATURE PORTFOLIO,2398-9629,2398-9629,ENVIRONMENTAL STUDIES,SSCI,"18,380",25.7,Q1,4.51,19.28%
Nature Sustainability,NAT SUSTAIN,NATURE PORTFOLIO,2398-9629,2398-9629,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SSCI,"18,380",25.7,Q1,4.51,19.28%
Immunity,IMMUNITY,CELL PRESS,1074-7613,1097-4180,IMMUNOLOGY,SCIE,"72,423",25.5,Q1,4.86,73.29%
Lancet Public Health,LANCET PUBLIC HEALTH,ELSEVIER SCI LTD,2468-2667,2468-2667,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","10,780",25.4,Q1,9.35,80.80%
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,CENTERS DISEASE CONTROL & PREVENTION,0149-2195,1545-861X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,"33,589",25.4,Q1,8.94,62.89%
Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,ANNUAL REVIEWS,0066-4189,1545-4479,MECHANICS,SCIE,"16,085",25.4,Q1,2.92,42.86%
Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,ANNUAL REVIEWS,0066-4189,1545-4479,"PHYSICS, FLUIDS & PLASMAS",SCIE,"16,085",25.4,Q1,2.92,42.86%
EUROPEAN UROLOGY,EUR UROL,ELSEVIER,0302-2838,1873-7560,UROLOGY & NEPHROLOGY,SCIE,"36,311",25.3,Q1,6.66,35.55%
REVIEWS OF GEOPHYSICS,REV GEOPHYS,AMER GEOPHYSICAL UNION,8755-1209,1944-9208,GEOCHEMISTRY & GEOPHYSICS,SCIE,"16,520",25.2,Q1,3,55.93%
Advances in Optics and Photonics,ADV OPT PHOTONICS,Optica Publishing Group,1943-8206,N/A,OPTICS,SCIE,"4,110",25.2,Q1,2.98,35.14%
JAMA Pediatrics,JAMA PEDIATR,AMER MEDICAL ASSOC,2168-6203,2168-6211,PEDIATRICS,SCIE,"18,881",24.7,Q1,7.79,20.20%
FUNGAL DIVERSITY,FUNGAL DIVERS,SPRINGER,1560-2745,1878-9129,MYCOLOGY,SCIE,"6,411",24.5,Q1,6.03,30.51%
Interdisciplinary Materials,INTERD MATER,WILEY,2767-4401,2767-441X,"CHEMISTRY, PHYSICAL",ESCI,875,24.5,Q1,2.93,95.45%
Interdisciplinary Materials,INTERD MATER,WILEY,2767-4401,2767-441X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,875,24.5,Q1,2.93,95.45%
