Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
REPRODUCTION,REPRODUCTION,BIOSCIENTIFICA LTD,1470-1626,1741-7899,DEVELOPMENTAL BIOLOGY,SCIE,"10,249",3.7,Q1,0.91,12.80%
MOLECULAR HUMAN REPRODUCTION,MOL HUM REPROD,OXFORD UNIV PRESS,1360-9947,1460-2407,DEVELOPMENTAL BIOLOGY,SCIE,"5,423",3.6,Q2,1.17,18.45%
MOLECULAR PHYLOGENETICS AND EVOLUTION,MOL PHYLOGENET EVOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,1055-7903,1095-9513,EVOLUTIONARY BIOLOGY,SCIE,"19,208",3.6,Q1,1.03,31.95%
Evolutionary Applications,EVOL APPL,WILEY,1752-4571,1752-4571,EVOLUTIONARY BIOLOGY,SCIE,"6,865",3.5,Q1,0.99,76.76%
Evolution Letters,EVOL LETT,OXFORD UNIV PRESS,N/A,2056-3744,EVOLUTIONARY BIOLOGY,SCIE,"1,183",3.4,Q2,1.05,76%
Evolution Medicine and Public Health,EVOL MED PUBLIC HLTH,OXFORD UNIV PRESS,N/A,2050-6201,EVOLUTIONARY BIOLOGY,SCIE,"1,003",3.3,Q2,0.85,95.87%
Genome Biology and Evolution,GENOME BIOL EVOL,OXFORD UNIV PRESS,1759-6653,1759-6653,EVOLUTIONARY BIOLOGY,SCIE,"8,727",3.2,Q2,0.9,93.81%
JOURNAL OF HUMAN EVOLUTION,J HUM EVOL,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0047-2484,1095-8606,EVOLUTIONARY BIOLOGY,SCIE,"8,652",3.1,Q2,1.56,38.02%
HEREDITY,HEREDITY,SPRINGERNATURE,0018-067X,1365-2540,EVOLUTIONARY BIOLOGY,SCIE,"9,311",3.1,Q2,0.92,41.50%
EVOLUTION,EVOLUTION,OXFORD UNIV PRESS,0014-3820,1558-5646,EVOLUTIONARY BIOLOGY,SCIE,"27,748",3.1,Q2,0.9,36.46%
PLACENTA,PLACENTA,W B SAUNDERS CO LTD,0143-4004,1532-3102,DEVELOPMENTAL BIOLOGY,SCIE,"10,221",3,Q2,1.14,27.39%
JOURNAL OF HEREDITY,J HERED,OXFORD UNIV PRESS INC,0022-1503,1465-7333,EVOLUTIONARY BIOLOGY,SCIE,"5,778",3,Q2,0.91,43.11%
TAXON,TAXON,WILEY,0040-0262,1996-8175,EVOLUTIONARY BIOLOGY,SCIE,"5,420",3,Q2,0.64,17.18%
CELLS TISSUES ORGANS,CELLS TISSUES ORGANS,KARGER,1422-6405,1422-6421,DEVELOPMENTAL BIOLOGY,SCIE,"2,198",2.9,Q2,0.82,14.84%
Biology Letters,BIOL LETTERS,ROYAL SOC,1744-9561,1744-957X,EVOLUTIONARY BIOLOGY,SCIE,"11,594",2.8,Q2,0.82,50.30%
Developmental Neurobiology,DEV NEUROBIOL,WILEY,1932-8451,1932-846X,DEVELOPMENTAL BIOLOGY,SCIE,"2,720",2.7,Q2,0.58,34%
MOLECULAR REPRODUCTION AND DEVELOPMENT,MOL REPROD DEV,WILEY,1040-452X,1098-2795,DEVELOPMENTAL BIOLOGY,SCIE,"5,386",2.7,Q2,0.53,17.49%
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,AM J PHYS ANTHROPOL,WILEY,0002-9483,1096-8644,EVOLUTIONARY BIOLOGY,SCIE,"11,956",2.6,Q2,1.07,10.92%
PALEOBIOLOGY,PALEOBIOLOGY,CAMBRIDGE UNIV PRESS,0094-8373,1938-5331,EVOLUTIONARY BIOLOGY,SCIE,"4,128",2.6,Q2,0.94,65.87%
EVOLUTION & DEVELOPMENT,EVOL DEV,WILEY,1520-541X,1525-142X,DEVELOPMENTAL BIOLOGY,SCIE,"1,732",2.6,Q2,0.68,47.37%
EVOLUTION & DEVELOPMENT,EVOL DEV,WILEY,1520-541X,1525-142X,EVOLUTIONARY BIOLOGY,SCIE,"1,732",2.6,Q2,0.68,47.37%
DEVELOPMENTAL BIOLOGY,DEV BIOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0012-1606,1095-564X,DEVELOPMENTAL BIOLOGY,SCIE,"23,665",2.5,Q2,0.76,75.21%
AMERICAN NATURALIST,AM NAT,UNIV CHICAGO PRESS,0003-0147,1537-5323,EVOLUTIONARY BIOLOGY,SCIE,"25,785",2.4,Q2,0.86,19.09%
Sexual Development,SEX DEV,KARGER,1661-5425,1661-5433,DEVELOPMENTAL BIOLOGY,SCIE,"1,035",2.4,Q2,0.43,20.62%
GENESIS,GENESIS,WILEY,1526-954X,1526-968X,DEVELOPMENTAL BIOLOGY,SCIE,"3,615",2.4,Q2,0.41,28.28%
ZOOLOGICA SCRIPTA,ZOOL SCR,WILEY,0300-3256,1463-6409,EVOLUTIONARY BIOLOGY,SCIE,"2,404",2.3,Q2,1.06,21.13%
BMC Ecology and Evolution,BMC ECOL EVOL,BMC,N/A,2730-7182,EVOLUTIONARY BIOLOGY,SCIE,842,2.3,Q2,0.71,99.76%
Ecology and Evolution,ECOL EVOL,WILEY,2045-7758,2045-7758,EVOLUTIONARY BIOLOGY,SCIE,"25,599",2.3,Q2,0.65,68.49%
DEVELOPMENTAL NEUROSCIENCE,DEV NEUROSCI-BASEL,KARGER,0378-5866,1421-9859,DEVELOPMENTAL BIOLOGY,SCIE,"2,150",2.3,Q2,0.57,42.59%
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,J SYST PALAEONTOL,TAYLOR & FRANCIS LTD,1477-2019,1478-0941,EVOLUTIONARY BIOLOGY,SCIE,"1,477",2.2,Q3,0.94,13.45%
Evolutionary Human Sciences,EVOL HUM SCI,CAMBRIDGE UNIV PRESS,N/A,2513-843X,EVOLUTIONARY BIOLOGY,ESCI,408,2.2,Q3,0.85,100%
Integrative Organismal Biology,INTEGR ORGANISM BIOL,OXFORD UNIV PRESS,N/A,2517-4843,EVOLUTIONARY BIOLOGY,SCIE,462,2.2,Q3,0.79,94.74%
IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT,IN VITRO CELL DEV-PL,SPRINGER,1054-5476,1475-2689,DEVELOPMENTAL BIOLOGY,SCIE,"3,055",2.2,Q3,0.54,10.89%
Journal of Developmental Biology,J DEV BIOL,MDPI,N/A,2221-3759,DEVELOPMENTAL BIOLOGY,ESCI,772,2.2,Q3,0.54,100%
DIFFERENTIATION,DIFFERENTIATION,ELSEVIER SCI LTD,0301-4681,1432-0436,DEVELOPMENTAL BIOLOGY,SCIE,"2,439",2.2,Q3,0.51,24.18%
JOURNAL OF EVOLUTIONARY BIOLOGY,J EVOLUTION BIOL,WILEY,1010-061X,1420-9101,EVOLUTIONARY BIOLOGY,SCIE,"9,444",2.1,Q3,0.58,42.32%
Cells & Development,CELLS DEV,ELSEVIER,2667-2901,2667-2901,DEVELOPMENTAL BIOLOGY,SCIE,170,2.1,Q3,0.55,66.37%
JOURNAL OF MOLECULAR EVOLUTION,J MOL EVOL,SPRINGER,0022-2844,1432-1432,EVOLUTIONARY BIOLOGY,SCIE,"7,433",2.1,Q3,0.49,38.06%
DEVELOPMENTAL DYNAMICS,DEV DYNAM,WILEY,1058-8388,1097-0177,DEVELOPMENTAL BIOLOGY,SCIE,"8,570",2,Q3,0.8,26.30%
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,J ZOOL SYST EVOL RES,WILEY-HINDAWI,0947-5745,1439-0469,EVOLUTIONARY BIOLOGY,SCIE,"1,422",2,Q3,0.78,55.12%
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,BIOL J LINN SOC,OXFORD UNIV PRESS,0024-4066,1095-8312,EVOLUTIONARY BIOLOGY,SCIE,"9,272",2,Q3,0.54,9.57%
ORGANISMS DIVERSITY & EVOLUTION,ORG DIVERS EVOL,SPRINGER HEIDELBERG,1439-6092,1618-1077,EVOLUTIONARY BIOLOGY,SCIE,"1,481",1.9,Q3,0.84,27.92%
Evolutionary Biology,EVOL BIOL,SPRINGER,0071-3260,1934-2845,EVOLUTIONARY BIOLOGY,SCIE,"1,657",1.9,Q3,0.56,30.85%
ANTHROPOLOGICAL SCIENCE,ANTHROPOL SCI,ANTHROPOLOGICAL SOC NIPPON,0918-7960,1348-8570,EVOLUTIONARY BIOLOGY,SCIE,380,1.9,Q3,0.35,100%
INVERTEBRATE SYSTEMATICS,INVERTEBR SYST,CSIRO PUBLISHING,1445-5226,1447-2600,EVOLUTIONARY BIOLOGY,SCIE,"1,305",1.8,Q3,0.97,13.79%
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,J EXP ZOOL PART B,WILEY,1552-5007,1552-5015,DEVELOPMENTAL BIOLOGY,SCIE,"1,498",1.8,Q3,0.67,30.25%
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,J EXP ZOOL PART B,WILEY,1552-5007,1552-5015,EVOLUTIONARY BIOLOGY,SCIE,"1,498",1.8,Q3,0.67,30.25%
DEVELOPMENTAL PSYCHOBIOLOGY,DEV PSYCHOBIOL,WILEY,0012-1630,1098-2302,DEVELOPMENTAL BIOLOGY,SCIE,"4,455",1.8,Q3,0.65,15.29%
REPRODUCTION FERTILITY AND DEVELOPMENT,REPROD FERT DEVELOP,CSIRO PUBLISHING,1031-3613,1448-5990,DEVELOPMENTAL BIOLOGY,SCIE,"3,924",1.8,Q3,0.63,21.80%
EVOLUTIONARY ECOLOGY,EVOL ECOL,SPRINGER,0269-7653,1573-8477,EVOLUTIONARY BIOLOGY,SCIE,"3,284",1.8,Q3,0.48,30.51%
American Journal of Biological Anthropology,AM J BIOL ANTHROPOL,WILEY,2692-7691,2692-7691,EVOLUTIONARY BIOLOGY,SCIE,431,1.7,Q4,0.95,35.76%
Evolutionary Bioinformatics,EVOL BIOINFORM,SAGE PUBLICATIONS LTD,1176-9343,1176-9343,EVOLUTIONARY BIOLOGY,SCIE,"1,127",1.7,Q4,0.46,90.54%
INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,INT J DEV NEUROSCI,WILEY,0736-5748,1873-474X,DEVELOPMENTAL BIOLOGY,SCIE,"3,004",1.7,Q3,0.44,7.61%
DEVELOPMENT GROWTH & DIFFERENTIATION,DEV GROWTH DIFFER,WILEY,0012-1592,1440-169X,DEVELOPMENTAL BIOLOGY,SCIE,"2,093",1.7,Q3,0.34,20.39%
Birth Defects Research,BIRTH DEFECTS RES,WILEY,2472-1727,2472-1727,DEVELOPMENTAL BIOLOGY,SCIE,"1,993",1.6,Q4,0.45,20.65%
Organogenesis,ORGANOGENESIS,TAYLOR & FRANCIS INC,1547-6278,1555-8592,DEVELOPMENTAL BIOLOGY,SCIE,"1,113",1.6,Q4,0.42,65.52%
AUSTRALIAN SYSTEMATIC BOTANY,AUST SYST BOT,CSIRO PUBLISHING,1030-1887,1446-5701,EVOLUTIONARY BIOLOGY,SCIE,784,1.5,Q4,0.45,64.15%
PLANT SYSTEMATICS AND EVOLUTION,PLANT SYST EVOL,SPRINGER WIEN,0378-2697,1615-6110,EVOLUTIONARY BIOLOGY,SCIE,"4,397",1.5,Q4,0.45,15.44%
ZYGOTE,ZYGOTE,CAMBRIDGE UNIV PRESS,0967-1994,1469-8730,DEVELOPMENTAL BIOLOGY,SCIE,"1,417",1.5,Q4,0.4,8.70%
IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-ANIMAL,IN VITRO CELL DEV-AN,SPRINGER,1071-2690,1543-706X,DEVELOPMENTAL BIOLOGY,SCIE,"2,543",1.5,Q4,0.39,10.53%
Zebrafish,ZEBRAFISH,"MARY ANN LIEBERT, INC",1545-8547,1557-8542,DEVELOPMENTAL BIOLOGY,SCIE,"1,610",1.4,Q4,0.76,9.62%
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,BIOCHEM SYST ECOL,PERGAMON-ELSEVIER SCIENCE LTD,0305-1978,1873-2925,EVOLUTIONARY BIOLOGY,SCIE,"4,583",1.4,Q4,0.38,5%
INSECT SYSTEMATICS & EVOLUTION,INSECT SYST EVOL,BRILL,1399-560X,1876-312X,EVOLUTIONARY BIOLOGY,SCIE,449,1.3,Q4,0.55,4.08%
Israel Journal of Ecology & Evolution,ISR J ECOL EVOL,BRILL,1565-9801,2224-4662,EVOLUTIONARY BIOLOGY,SCIE,337,1.3,Q4,0.38,0%
THEORETICAL POPULATION BIOLOGY,THEOR POPUL BIOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0040-5809,1096-0325,EVOLUTIONARY BIOLOGY,SCIE,"3,616",1.2,Q4,0.35,54.55%
Romanian Journal of Morphology and Embryology,ROM J MORPHOL EMBRYO,EDITURA ACAD ROMANE,1220-0522,2066-8279,DEVELOPMENTAL BIOLOGY,SCIE,"1,937",1.2,Q4,0.23,99.21%
GENE EXPRESSION PATTERNS,GENE EXPR PATTERNS,ELSEVIER,1567-133X,1872-7298,DEVELOPMENTAL BIOLOGY,SCIE,"1,262",1,Q4,0.34,15.79%
INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,INT J DEV BIOL,UNIV BASQUE COUNTRY UPV-EHU PRESS,0214-6282,1696-3547,DEVELOPMENTAL BIOLOGY,SCIE,"3,258",1,Q4,0.33,92%
SYSTEMATIC BOTANY,SYST BOT,AMER SOC PLANT TAXONOMISTS,0363-6445,1548-2324,EVOLUTIONARY BIOLOGY,SCIE,"2,634",0.9,Q4,0.27,2.61%
DEVELOPMENT GENES AND EVOLUTION,DEV GENES EVOL,SPRINGER,0949-944X,1432-041X,DEVELOPMENTAL BIOLOGY,SCIE,"1,396",0.8,Q4,0.43,37.84%
DEVELOPMENT GENES AND EVOLUTION,DEV GENES EVOL,SPRINGER,0949-944X,1432-041X,EVOLUTIONARY BIOLOGY,SCIE,"1,396",0.8,Q4,0.43,37.84%
JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,J EVOL BIOCHEM PHYS+,PLEIADES PUBLISHING INC,0022-0930,1608-3202,EVOLUTIONARY BIOLOGY,SCIE,559,0.6,Q4,0.15,1.43%
Russian Journal of Developmental Biology,RUSS J DEV BIOL+,PLEIADES PUBLISHING INC,1062-3604,1608-3326,DEVELOPMENTAL BIOLOGY,SCIE,392,0.5,Q4,0.14,6.25%
Ideas in Ecology and Evolution,IDEAS ECOL EVOL,QUEENS UNIV,1918-3178,1918-3178,EVOLUTIONARY BIOLOGY,ESCI,46,0.2,Q4,0.08,100%
,,,,,,,,,,,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,
