Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
JOURNAL OF APPLIED PSYCHOLOGY,J APPL PSYCHOL,AMER PSYCHOLOGICAL ASSOC,0021-9010,1939-1854,"PSYCHOLOGY, APPLIED",SSCI,"51,849",9.4,Q1,2.66,2.04%
MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,MONOGR SOC RES CHILD,WILEY,0037-976X,1540-5834,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"2,236",9.4,Q1,2.58,55.56%
JOURNAL OF MANAGEMENT,J MANAGE,SAGE PUBLICATIONS INC,0149-2063,1557-1211,"PSYCHOLOGY, APPLIED",SSCI,"34,936",9.3,Q1,2.04,20.69%
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,J AM ACAD CHILD PSY,ELSEVIER SCIENCE INC,0890-8567,1527-5418,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"20,111",9.2,Q1,3.31,39.27%
LEADERSHIP QUARTERLY,LEADERSHIP QUART,ELSEVIER SCIENCE INC,1048-9843,1873-3409,"PSYCHOLOGY, APPLIED",SSCI,"13,479",9.1,Q1,2.29,11.85%
COMPUTERS IN HUMAN BEHAVIOR,COMPUT HUM BEHAV,PERGAMON-ELSEVIER SCIENCE LTD,0747-5632,1873-7692,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"52,261",9,Q1,2.91,26.65%
COMPUTERS IN HUMAN BEHAVIOR,COMPUT HUM BEHAV,PERGAMON-ELSEVIER SCIENCE LTD,0747-5632,1873-7692,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"52,261",9,Q1,2.91,26.65%
ORGANIZATIONAL RESEARCH METHODS,ORGAN RES METHODS,SAGE PUBLICATIONS INC,1094-4281,1552-7425,"PSYCHOLOGY, APPLIED",SSCI,"12,676",8.9,Q1,2.3,17.95%
PSYCHOLOGY & MARKETING,PSYCHOL MARKET,WILEY,0742-6046,1520-6793,"PSYCHOLOGY, APPLIED",SSCI,"11,090",8.9,Q1,1.98,31.93%
Qualitative Research in Sport Exercise and Health,QUAL RES SPORT EXERC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2159-676X,2159-6778,"PSYCHOLOGY, APPLIED",SSCI,"4,066",8,Q1,0.98,39.16%
European Journal of Psychology Applied to Legal Context,EUR J PSYCHOL APPL L,COLEGIO OFICIAL PSICOLOGOS MADRID,1889-1861,1989-4007,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,533,7.6,Q1,6.8,100%
PSYCHOLOGICAL METHODS,PSYCHOL METHODS,AMER PSYCHOLOGICAL ASSOC,1082-989X,1939-1463,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"19,452",7.6,Q1,2.97,3.70%
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,CURR DIR PSYCHOL SCI,SAGE PUBLICATIONS INC,0963-7214,1467-8721,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"15,885",7.4,Q1,2.49,23.04%
PSYCHOLOGICAL INQUIRY,PSYCHOL INQ,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1047-840X,1532-7965,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"6,406",7.2,Q1,1.63,16%
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,J CHILD PSYCHOL PSYC,WILEY,0021-9630,1469-7610,PSYCHOLOGY,SCIE,"21,180",6.5,Q1,1.59,46.17%
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,J CHILD PSYCHOL PSYC,WILEY,0021-9630,1469-7610,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"21,180",6.5,Q1,1.59,46.17%
International Review of Sport and Exercise Psychology,INT REV SPORT EXER P,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1750-984X,1750-9858,"PSYCHOLOGY, APPLIED",SSCI,"2,170",6.4,Q1,1.15,37.11%
Current Opinion in Psychology,CURR OPIN PSYCHOL,ELSEVIER,2352-250X,2352-2518,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"10,709",6.3,Q1,1.33,24.47%
JOURNAL OF ORGANIZATIONAL BEHAVIOR,J ORGAN BEHAV,WILEY,0894-3796,1099-1379,"PSYCHOLOGY, APPLIED",SSCI,"18,578",6.2,Q1,1.45,31.72%
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,J ENVIRON PSYCHOL,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0272-4944,1522-9610,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"17,452",6.1,Q1,1.88,38.08%
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,EUR CHILD ADOLES PSY,SPRINGER,1018-8827,1435-165X,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"9,748",6,Q1,1.74,56.13%
HUMAN RESOURCE MANAGEMENT,HUM RESOUR MANAGE-US,"WILEY PERIODICALS, INC",0090-4848,1099-050X,"PSYCHOLOGY, APPLIED",SSCI,"6,086",6,Q1,1.65,33.33%
PSYCHOLOGICAL MEDICINE,PSYCHOL MED,CAMBRIDGE UNIV PRESS,0033-2917,1469-8978,PSYCHOLOGY,SCIE,"35,004",5.9,Q1,2.36,48.49%
Journal of Occupational Health Psychology,J OCCUP HEALTH PSYCH,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,1076-8998,1939-1307,"PSYCHOLOGY, APPLIED",SSCI,"8,538",5.9,Q1,1.56,3.81%
DEVELOPMENTAL REVIEW,DEV REV,ACADEMIC PRESS INC ELSEVIER SCIENCE,0273-2297,1090-2406,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"4,845",5.7,Q1,1.63,27.27%
WORK AND STRESS,WORK STRESS,TAYLOR & FRANCIS LTD,0267-8373,1464-5335,"PSYCHOLOGY, APPLIED",SSCI,"4,208",5.6,Q1,1.33,49.15%
Journal of Adolescent Health,J ADOLESCENT HEALTH,ELSEVIER SCIENCE INC,1054-139X,1879-1972,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"19,484",5.5,Q1,2.2,29.13%
Autism Research,AUTISM RES,WILEY,1939-3792,1939-3806,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"7,746",5.3,Q1,1.42,29.61%
MULTIVARIATE BEHAVIORAL RESEARCH,MULTIVAR BEHAV RES,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0027-3171,1532-7906,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"9,292",5.3,Q1,1.39,22.60%
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,INT J HUM-COMPUT ST,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1071-5819,1095-9300,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"7,523",5.3,Q1,1.38,36.06%
JOURNAL OF VOCATIONAL BEHAVIOR,J VOCAT BEHAV,ACADEMIC PRESS INC ELSEVIER SCIENCE,0001-8791,1095-9084,"PSYCHOLOGY, APPLIED",SSCI,"16,322",5.2,Q1,1.85,24.89%
Body Image,BODY IMAGE,ELSEVIER,1740-1445,1873-6807,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"7,928",5.2,Q1,1.75,23.49%
AUTISM,AUTISM,SAGE PUBLICATIONS LTD,1362-3613,1461-7005,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"10,607",5.2,Q1,1.48,35.66%
ENVIRONMENT AND BEHAVIOR,ENVIRON BEHAV,SAGE PUBLICATIONS INC,0013-9165,1552-390X,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"8,193",5.2,Q1,1.31,31.34%
PSYCHOLOGICAL REVIEW,PSYCHOL REV,AMER PSYCHOLOGICAL ASSOC,0033-295X,1939-1471,PSYCHOLOGY,SCIE,"31,125",5.1,Q1,1.93,8.42%
PSYCHOLOGICAL REVIEW,PSYCHOL REV,AMER PSYCHOLOGICAL ASSOC,0033-295X,1939-1471,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"31,125",5.1,Q1,1.93,8.42%
Child Development Perspectives,CHILD DEV PERSPECT,WILEY,1750-8592,1750-8606,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"4,821",5.1,Q1,1.91,24.18%
Behavioural Public Policy,BEHAV PUBLIC POLICY,CAMBRIDGE UNIV PRESS,2398-063X,2398-0648,"PSYCHOLOGY, APPLIED",ESCI,969,5.1,Q1,1.85,36.43%
Asian Journal of Social Health and Behavior,ASIAN J SOC HEAL BEH,WOLTERS KLUWER MEDKNOW PUBLICATIONS,N/A,2772-4204,"PSYCHOLOGY, MULTIDISCIPLINARY",ESCI,274,5,Q1,2.25,100%
APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,APPL PSYCHOL-INT REV,WILEY,0269-994X,1464-0597,"PSYCHOLOGY, APPLIED",SSCI,"6,045",4.9,Q1,1.66,39.44%
Computers in Human Behavior Reports,COMPUT HUM BEHAV REP,ELSEVIER,2451-9588,2451-9588,"PSYCHOLOGY, EXPERIMENTAL",ESCI,"1,174",4.9,Q1,1.59,95.86%
Computers in Human Behavior Reports,COMPUT HUM BEHAV REP,ELSEVIER,2451-9588,2451-9588,"PSYCHOLOGY, MULTIDISCIPLINARY",ESCI,"1,174",4.9,Q1,1.59,95.86%
Current Opinion in Behavioral Sciences,CURR OPIN BEHAV SCI,ELSEVIER,2352-1546,2352-1554,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"5,707",4.9,Q1,1.36,42.20%
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,J OCCUP ORGAN PSYCH,WILEY,0963-1798,2044-8325,"PSYCHOLOGY, APPLIED",SSCI,"6,178",4.9,Q1,1.31,41.22%
PSYCHOLOGICAL SCIENCE,PSYCHOL SCI,SAGE PUBLICATIONS INC,0956-7976,1467-9280,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"33,828",4.8,Q1,2.12,30.65%
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,J GERONTOL B-PSYCHOL,OXFORD UNIV PRESS INC,1079-5014,1758-5368,PSYCHOLOGY,SCIE,"13,292",4.8,Q1,1.79,16.88%
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,J GERONTOL B-PSYCHOL,OXFORD UNIV PRESS INC,1079-5014,1758-5368,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"13,292",4.8,Q1,1.79,16.88%
Clinical Psychological Science,CLIN PSYCHOL SCI,SAGE PUBLICATIONS INC,2167-7026,2167-7034,PSYCHOLOGY,SCIE,"4,509",4.8,Q1,1.33,21.71%
DEPRESSION AND ANXIETY,DEPRESS ANXIETY,WILEY,1091-4269,1520-6394,PSYCHOLOGY,SCIE,"11,699",4.7,Q1,1.7,78.31%
INTERNATIONAL JOURNAL OF EATING DISORDERS,INT J EAT DISORDER,WILEY,0276-3478,1098-108X,PSYCHOLOGY,SCIE,"12,782",4.7,Q1,1.29,30.44%
PERSONNEL PSYCHOLOGY,PERS PSYCHOL,WILEY,0031-5826,1744-6570,"PSYCHOLOGY, APPLIED",SSCI,"10,066",4.7,Q1,1.27,31.13%
Adolescent Research Review,ADOLESC RES REV,SPRINGER INT PUBL AG,2363-8346,2363-8354,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"1,015",4.7,Q1,1.2,46.25%
Qualitative Research in Psychology,QUAL RES PSYCHOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1478-0887,1478-0895,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"16,466",4.6,Q1,3.78,17.24%
JOURNAL OF RESEARCH ON ADOLESCENCE,J RES ADOLESCENCE,WILEY,1050-8392,1532-7795,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"4,730",4.6,Q1,1.6,24.64%
Behavior Research Methods,BEHAV RES METHODS,SPRINGER,1554-351X,1554-3528,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"31,708",4.6,Q1,1.57,52.53%
Behavior Research Methods,BEHAV RES METHODS,SPRINGER,1554-351X,1554-3528,"PSYCHOLOGY, MATHEMATICAL",SSCI,"31,708",4.6,Q1,1.57,52.53%
Developmental Cognitive Neuroscience,DEV COGN NEUROS-NETH,ELSEVIER SCI LTD,1878-9293,1878-9307,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"6,012",4.6,Q1,1.41,96.60%
INTERNATIONAL PSYCHOGERIATRICS,INT PSYCHOGERIATR,CAMBRIDGE UNIV PRESS,1041-6102,1741-203X,PSYCHOLOGY,SCIE,"8,720",4.6,Q1,1.38,38.25%
HUMAN DEVELOPMENT,HUM DEV,KARGER,0018-716X,1423-0054,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"1,940",4.4,Q1,1.39,17.46%
Human Behavior and Emerging Technologies,HUM BEHAV EMERG TECH,WILEY-HINDAWI,N/A,2578-1863,"PSYCHOLOGY, MULTIDISCIPLINARY",ESCI,"1,757",4.3,Q1,2.1,88.80%
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,J CLIN CHILD ADOLESC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1537-4416,1537-4424,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"6,644",4.2,Q1,1.27,7.35%
GROUP & ORGANIZATION MANAGEMENT,GROUP ORGAN MANAGE,SAGE PUBLICATIONS INC,1059-6011,1552-3993,"PSYCHOLOGY, APPLIED",SSCI,"3,673",4,Q1,1.08,16.37%
JOURNAL OF CONSUMER PSYCHOLOGY,J CONSUM PSYCHOL,JOHN WILEY & SONS LTD,1057-7408,1532-7663,"PSYCHOLOGY, APPLIED",SSCI,"7,882",4,Q1,1.06,24.26%
Human Resource Development Quarterly,HUM RESOUR DEV Q,"WILEY PERIODICALS, INC",1044-8004,1532-1096,"PSYCHOLOGY, APPLIED",SSCI,"1,963",4,Q1,1.03,26.67%
European Journal of Work and Organizational Psychology,EUR J WORK ORGAN PSY,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1359-432X,1464-0643,"PSYCHOLOGY, APPLIED",SSCI,"5,536",4,Q1,0.97,36.36%
CHILD DEVELOPMENT,CHILD DEV,WILEY,0009-3920,1467-8624,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"30,424",3.9,Q1,1.47,31.83%
Social Cognitive and Affective Neuroscience,SOC COGN AFFECT NEUR,OXFORD UNIV PRESS,1749-5016,1749-5024,PSYCHOLOGY,SCIE,"8,305",3.9,Q1,1.3,95.63%
Social Cognitive and Affective Neuroscience,SOC COGN AFFECT NEUR,OXFORD UNIV PRESS,1749-5016,1749-5024,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"8,305",3.9,Q1,1.3,95.63%
EUROPEAN PSYCHOLOGIST,EUR PSYCHOL,HOGREFE PUBLISHING CORP,1016-9040,1878-531X,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"2,337",3.9,Q1,1.29,20.25%
Organizational Psychology Review,ORGAN PSYCHOL REV,SAGE PUBLICATIONS INC,2041-3866,2041-3874,"PSYCHOLOGY, APPLIED",SSCI,"1,098",3.9,Q1,1.19,21.43%
Applied Psychology-Health and Well Being,APPL PSYCHOL-HLTH WE,WILEY,1758-0846,1758-0854,"PSYCHOLOGY, APPLIED",SSCI,"2,510",3.8,Q1,1.69,36.92%
JOURNAL OF COUNSELING PSYCHOLOGY,J COUNS PSYCHOL,AMER PSYCHOLOGICAL ASSOC,0022-0167,1939-2168,"PSYCHOLOGY, APPLIED",SSCI,"10,490",3.8,Q1,1.45,1.52%
JOURNAL OF YOUTH AND ADOLESCENCE,J YOUTH ADOLESCENCE,SPRINGER/PLENUM PUBLISHERS,0047-2891,1573-6601,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"13,112",3.7,Q1,1.46,31.57%
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,J EXP PSYCHOL GEN,AMER PSYCHOLOGICAL ASSOC,0096-3445,1939-2222,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"14,645",3.7,Q1,1.33,7.72%
JOURNAL OF BUSINESS AND PSYCHOLOGY,J BUS PSYCHOL,SPRINGER,0889-3268,1573-353X,"PSYCHOLOGY, APPLIED",SSCI,"5,921",3.7,Q1,1.27,21.32%
PSYCHOLOGY AND AGING,PSYCHOL AGING,AMER PSYCHOLOGICAL ASSOC,0882-7974,1939-1498,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"9,648",3.7,Q1,1.15,5.58%
Psychosocial Intervention,PSYCHOSOC INTERV,COLEGIO OFICIAL PSICOLOGOS MADRID,1132-0559,2173-4712,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,804,3.6,Q1,1.42,100%
Psychology of Sexual Orientation and Gender Diversity,PSYCHOL SEX ORIENTAT,AMER PSYCHOLOGICAL ASSOC,2329-0382,2329-0390,PSYCHOLOGY,SCIE,"2,446",3.6,Q1,1.33,7.02%
Psychology of Sexual Orientation and Gender Diversity,PSYCHOL SEX ORIENTAT,AMER PSYCHOLOGICAL ASSOC,2329-0382,2329-0390,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"2,446",3.6,Q1,1.33,7.02%
Neurobiology of Language,NEUROBIOL LANG,MIT PRESS,2641-4368,2641-4368,"PSYCHOLOGY, EXPERIMENTAL",ESCI,452,3.6,Q1,1.28,100%
npj Science of Learning,NPJ SCI LEARN,NATURE PORTFOLIO,N/A,2056-7936,"PSYCHOLOGY, EXPERIMENTAL",SSCI,749,3.6,Q1,1.24,99.18%
ANNALS OF BEHAVIORAL MEDICINE,ANN BEHAV MED,OXFORD UNIV PRESS INC,0883-6612,1532-4796,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"8,581",3.6,Q1,1.17,21.81%
REVIEW OF GENERAL PSYCHOLOGY,REV GEN PSYCHOL,SAGE PUBLICATIONS INC,1089-2680,1939-1552,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"6,056",3.6,Q1,1.1,25.32%
AUSTRALIAN JOURNAL OF PSYCHOLOGY,AUST J PSYCHOL,TAYLOR & FRANCIS LTD,0004-9530,1742-9536,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"1,565",3.6,Q1,0.87,50%
TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,TRANSPORT RES F-TRAF,ELSEVIER SCI LTD,1369-8478,1873-5517,"PSYCHOLOGY, APPLIED",SSCI,"10,038",3.5,Q1,1.13,29.54%
MEDIA PSYCHOLOGY,MEDIA PSYCHOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1521-3269,1532-785X,"PSYCHOLOGY, APPLIED",SSCI,"2,784",3.4,Q1,3.03,25.64%
Policy Insights from the Behavioral and Brain Sciences,POL INS BEH BRAIN SC,SAGE PUBLICATIONS INC,2372-7322,2372-7330,"PSYCHOLOGY, MULTIDISCIPLINARY",ESCI,"1,012",3.4,Q1,1.61,13.19%
EMOTION,EMOTION,AMER PSYCHOLOGICAL ASSOC,1528-3542,1931-1516,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"12,256",3.4,Q1,1.49,7.44%
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,ORGAN BEHAV HUM DEC,ACADEMIC PRESS INC ELSEVIER SCIENCE,0749-5978,1095-9920,"PSYCHOLOGY, APPLIED",SSCI,"15,927",3.4,Q1,1.21,19.89%
Cognitive Research-Principles and Implications,COGN RES,SPRINGER,2365-7464,2365-7464,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"1,696",3.4,Q1,1.19,100%
Journal of Positive Psychology,J POSIT PSYCHOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1743-9760,1743-9779,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"6,047",3.4,Q1,1.16,17.62%
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,AM J COMMUN PSYCHOL,WILEY,0091-0562,1573-2770,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"7,334",3.4,Q1,1.13,26.92%
AGGRESSION AND VIOLENT BEHAVIOR,AGGRESS VIOLENT BEH,PERGAMON-ELSEVIER SCIENCE LTD,1359-1789,1873-6335,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"6,212",3.4,Q1,1.07,17.11%
New Directions for Child and Adolescent Development,NEW DIR CHILD ADOLES,WILEY-HINDAWI,1520-3247,1534-8687,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"1,969",3.4,Q1,1.01,73.08%
Career Development International,CAREER DEV INT,EMERALD GROUP PUBLISHING LTD,1362-0436,1758-6003,"PSYCHOLOGY, APPLIED",SSCI,"2,877",3.4,Q1,0.86,15%
PERSONNEL REVIEW,PERS REV,EMERALD GROUP PUBLISHING LTD,0048-3486,1758-6933,"PSYCHOLOGY, APPLIED",SSCI,"5,161",3.3,Q2,1.11,4.22%
INTELLIGENCE,INTELLIGENCE,ELSEVIER SCIENCE INC,0160-2896,1873-7935,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"4,571",3.3,Q1,1.08,37.25%
German Journal of Human Resource Management-Zeitschrift fur Personalforschung,GER J HUM RESOUR MAN,SAGE PUBLICATIONS INC,2397-0022,2397-0030,"PSYCHOLOGY, APPLIED",SSCI,395,3.3,Q2,0.94,35.85%
INTERNATIONAL JOURNAL OF PSYCHOLOGY,INT J PSYCHOL,JOHN WILEY & SONS LTD,0020-7594,1464-066X,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"4,117",3.3,Q1,0.94,30.22%
ATTACHMENT & HUMAN DEVELOPMENT,ATTACH HUM DEV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1461-6734,1469-2988,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"2,512",3.3,Q1,0.93,33.33%
PSYCHO-ONCOLOGY,PSYCHO-ONCOLOGY,WILEY,1057-9249,1099-1611,PSYCHOLOGY,SCIE,"14,321",3.3,Q1,0.8,33.45%
PSYCHO-ONCOLOGY,PSYCHO-ONCOLOGY,WILEY,1057-9249,1099-1611,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"14,321",3.3,Q1,0.8,33.45%
EARLY CHILDHOOD RESEARCH QUARTERLY,EARLY CHILD RES Q,ELSEVIER SCIENCE INC,0885-2006,1873-7706,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"6,611",3.2,Q1,1.59,20.67%
BRITISH JOURNAL OF PSYCHOLOGY,BRIT J PSYCHOL,WILEY,0007-1269,2044-8295,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"5,437",3.2,Q1,1.3,44.65%
PSICOTHEMA,PSICOTHEMA,COLEGIO OFICIAL DE PSICOLOGOS DE ASTURIAS,0214-9915,1886-144X,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"4,138",3.2,Q1,1.19,0%
PSYCHOLOGY OF ADDICTIVE BEHAVIORS,PSYCHOL ADDICT BEHAV,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,0893-164X,1939-1501,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"5,527",3.2,Q1,1.07,12.82%
